Carrier,HSCode,dist
165,94,1.3524848520755768
22,91,1.326180813567979
108,83,1.3671324763979231
172,93,1.3382167922598975
308,93,1.3180355046476637
304,93,1.3350157024604934
280,91,1.3439975189311164
253,88,1.3445543625525065
368,93,1.3190328308514185
534,32,1.353527516658817
236,88,1.3100739802633012
245,89,1.3469294330903463
121,54,1.3366567338151591
345,93,1.3259449835334505
456,93,1.3392863763230187
399,93,1.3015194066933222
158,44,1.3565290101936884
244,88,1.3258049573217119
33,88,1.3484927777733122
22,93,1.3201779936041151
331,94,1.357439969267164
293,94,1.3381028430802482
173,93,1.3253700541598457
399,43,1.3493681848049164
534,90,1.3610018555607115
105,88,1.3331496800695146
392,54,1.3209804424217768
116,88,1.3277077611003603
172,88,1.3400243116276604
336,88,1.3293334394693375
590,88,1.3363500399781125
566,93,1.362289479800633
116,93,1.3242676109075546
59,93,1.3287557874407088
57,39,1.3001181142670768
511,54,1.3465860337018967
473,88,1.3042299470731191
572,88,1.325509942003659
104,93,1.324125783784049
22,33,1.358894305569785
393,32,1.3229203862803323
107,88,1.361173934170178
292,93,1.3699728891785656
497,93,1.3425619368042265
511,88,1.3245050545249666
22,10,1.3411016826118742
450,88,1.325290200965745
395,88,1.3402337304183416
59,88,1.3329554455620902
336,93,1.3250665558235986
172,94,1.3547030900205885
456,88,1.338732095701354
247,54,1.3745265251823835
247,88,1.3511545115283556
33,93,1.3466938425387656
109,32,1.3695673804197992
59,32,1.3594506872551781
373,93,1.3259880989789963
399,34,1.318708353808948
242,88,1.349897244146892
67,93,1.4148239546588488
582,88,1.2903274617024831
499,31,1.4091274631874902
566,39,1.3791918350117547
158,93,1.3402482526642936
187,88,1.3408121126038688
104,88,1.3216006457805634
261,32,1.3742502246584212
22,88,1.3219140682901656
28,88,1.3457371890544891
108,91,1.3188905801091875
532,88,1.3546883506434304
187,92,1.3432333916425705
247,93,1.348785821880613
511,93,1.3236860547746931
16,39,1.2723501047917776
542,94,1.3820210290806634
331,88,1.344757344041552
261,93,1.3464277386665344
450,93,1.3240720736128944
386,92,1.3127039947680064
304,39,1.3596721243645464
109,93,1.3434011446578162
343,93,1.357688611107213
261,54,1.3672210574150085
116,91,1.3336856716445513
