PortOfLading,ShipmentOrigin,dist
132,57,1.0988403537443705
218,21,1.0579343012401037
127,21,1.0559993386268616
169,21,1.0656490347215108
48,21,1.0572132564016752
246,21,1.0492591857910156
233,21,1.1025375127792358
244,21,1.0645523135151183
189,21,1.112962550350598
235,21,1.0699517088277
130,21,1.0834674079503332
64,21,1.0777125848191125
42,21,1.068974997316088
221,21,1.061510396855218
114,21,1.0564561582037382
74,21,1.0534705072641373
94,55,1.0588708179337638
159,57,1.107256612607411
43,74,1.112359871821744
220,57,1.0917677081057005
48,80,1.0919796164546693
246,47,1.0480571346623557
27,59,1.133153306586402
246,101,1.0581011857305254
194,44,1.1316246667078562
32,80,1.1231653520039149
152,71,1.1318394839763641
152,20,1.1005516286407198
246,62,1.0870119013956614
42,80,1.0899242673601424
221,64,1.0757669753261976
243,112,1.0719306330595697
138,102,1.0626917130180769
141,59,1.1303808007921492
114,112,1.0746224064912115
136,55,1.058133350951331
126,83,1.1102162940161568
211,20,1.1254775119679314
231,71,1.1369600764342718
32,20,1.122819232089179
58,114,1.1060736498662405
218,64,1.078682185283729
221,112,1.080166332423687
141,84,1.112046248146466
88,20,1.1028770165784019
42,40,1.0622799534882819
98,99,1.1107825232403619
127,102,1.0829150676727295
53,112,1.1216875101838792
236,41,1.1811411859733718
42,109,1.0831761126007353
90,21,1.0966382111821855
89,21,1.1538828696523393
158,50,1.0481618855680739
166,14,1.098651905144964
114,51,1.0668432797704424
127,101,1.0599925092288427
169,55,1.0694900069917952
127,51,1.0657222090022904
237,18,1.0655386650136538
11,20,1.1240265859024865
127,112,1.07574100792408
174,64,1.0917350564684187
243,64,1.0708166509866714
72,24,1.187980959990195
48,112,1.0786414465733938
188,80,1.1256961141313826
42,64,1.083626172372273
148,55,1.0754733362368174
23,112,1.0591872643147195
27,70,1.1261398196220398
141,85,1.1548525243997574
27,60,1.1229181034224374
122,75,1.1099311241081782
27,80,1.1083119064569473
138,32,1.122242374079568
11,44,1.128785878419876
10,18,1.141034490295819
155,50,1.0752406737634115
169,101,1.0745824362550462
126,64,1.075356783611434
238,14,1.152527547308377
32,12,1.1519684216805868
27,84,1.1147780801568712
202,80,1.107768320611545
221,51,1.0684808183993613
169,95,1.0893363069210733
32,41,1.1699786058494024
114,95,1.077517337032727
202,84,1.1053149668233735
64,47,1.0760196532521928
27,34,1.1510215933833803
215,14,1.1174989555563246
127,64,1.0706205133880888
246,112,1.0698379182389803
218,101,1.0687101696218764
113,112,1.0598323377115386
141,55,1.0937581860593386
42,112,1.0892749556473322
181,55,1.1425120681524277
141,37,1.0854158060891288
42,99,1.1010981053113937
9,14,1.094221858041627
244,112,1.0847238025494985
114,47,1.054516464471817
125,64,1.0390859246253967
130,14,1.0953807149614607
53,14,1.1058218287570136
236,96,1.1363071096794946
25,40,1.1150949320622854
169,47,1.0653230718203954
185,14,1.1011796742677689
1,105,1.1039389361228262
141,108,1.127019083925656
230,64,1.0654467759387833
69,50,1.0706678714071
48,95,1.073605784348079
114,64,1.0711675946201598
133,64,1.1540597102471761
182,18,1.1651011833122797
94,83,1.1177698288645064
