PortOfUnlading,ShipmentOrigin,dist
17,57,1.340461471251079
6,21,1.3500343215252673
46,21,1.3441116785231446
44,21,1.3423525029793382
63,21,1.3424041606485844
50,21,1.3498726697372538
10,21,1.3616730234186565
8,21,1.3483842937275767
53,21,1.3505196176203234
51,21,1.3458173244393297
16,21,1.3404493707099132
2,21,1.367384796222073
31,21,1.3594690188765526
0,21,1.3925979855869497
17,21,1.3462333282971355
29,21,1.3794277028313704
65,21,1.3750246710010938
53,55,1.3447476513683796
63,57,1.3406712637682046
35,74,1.3042587696441583
17,55,1.3399216585925646
50,80,1.361122113253389
44,47,1.3337113038349864
17,59,1.3353239904556955
17,101,1.3376081394297736
31,44,1.3407130460920078
8,71,1.3298049287072249
46,20,1.3312091662415437
44,62,1.3471646142591323
20,80,1.3498425049973386
6,64,1.3550506218203477
53,112,1.3532992681222302
6,102,1.348482571542263
2,62,1.356804904128824
17,62,1.3466683365404606
51,102,1.3484482036105223
6,59,1.337586993617671
51,112,1.3499395506722587
2,55,1.3618647530674934
50,83,1.3448105167065347
2,20,1.3469792968992675
44,71,1.3330890578883035
44,20,1.334017623748098
21,114,1.2765340017420905
63,64,1.349606888634818
31,112,1.3580482210963964
46,62,1.3435849099395065
62,84,1.3313307134168488
17,40,1.353032290403332
2,99,1.3428664526769094
46,102,1.3455349818936415
8,112,1.3503767906555109
50,41,1.3204406550420182
53,109,1.3238779306411743
17,50,1.3373185587780816
6,14,1.3534714387995856
44,51,1.3498998742018427
51,101,1.3375626310173954
53,80,1.3569994967963015
63,51,1.3502846801919597
17,112,1.3501334403242384
51,18,1.349622670028891
63,101,1.3337239434144326
44,55,1.340320855911289
17,20,1.3313379328964012
46,112,1.3475184147911412
56,64,1.363871834639992
63,112,1.3479486677263464
46,24,1.332752026334804
31,64,1.3607152663171291
62,112,1.3547004498541355
20,21,1.3711878707898515
44,112,1.3476806841790676
10,64,1.3594980420810836
2,101,1.3598278880651509
20,40,1.3630863430776767
45,70,1.3486134838312864
17,85,1.3322949638989354
20,60,1.3191925597244076
17,75,1.3331423566809721
0,112,1.377552015274497
46,32,1.3211540699537312
63,80,1.3585144808249814
34,44,1.3353501079337937
50,18,1.352744257343667
46,80,1.3546138645282813
6,101,1.3422153860862767
17,64,1.3514416813850403
8,14,1.3482988774776459
63,12,1.344604067504406
6,112,1.3528261732842242
8,84,1.327556670244251
62,80,1.3564313357429845
8,55,1.3420123622885771
10,112,1.3571240965809142
10,20,1.3382508454046078
45,21,1.3916306007387382
46,51,1.3504487201571465
63,102,1.3462038476552283
51,95,1.3274009195821626
34,55,1.3571641816358482
44,41,1.3196455116516776
17,95,1.3270393090455659
10,51,1.3629900033452682
17,84,1.3281796446868352
8,47,1.3392374366521835
50,64,1.3552003433661801
17,34,1.3390514738857746
46,101,1.3374486397951841
16,14,1.3440434608907839
31,47,1.3495154210499354
6,40,1.3581004233232565
29,101,1.3711852633527346
53,50,1.3393705423389162
6,62,1.3491153663822584
51,47,1.3364706438151188
29,112,1.3747385660452502
62,21,1.354361792959805
65,101,1.3632089455911358
50,112,1.3531180577618735
56,55,1.3599689065345697
16,112,1.3461003920861654
16,47,1.3306136977459704
6,55,1.3456705553191048
17,37,1.3317815504435981
53,57,1.344068324991635
16,102,1.3433714743171419
17,99,1.3332990179104465
44,101,1.335017445896353
31,55,1.3525094091892242
2,112,1.3656664336366313
50,47,1.340859612849142
62,51,1.3588631860911846
17,14,1.3486548561070646
17,47,1.3368924180311816
63,47,1.3337011465503434
8,80,1.3559253732008594
51,14,1.35140669505511
44,64,1.3496334462293558
31,96,1.3067864126392774
8,40,1.3538574358182294
8,64,1.352167606885944
53,14,1.3516797024224485
17,105,1.3294712858540672
17,108,1.3283390545153193
2,64,1.3689874708652496
10,14,1.3609397242377912
44,95,1.324009052610823
46,64,1.3497858233749866
13,64,1.3748942999435323
20,64,1.364292620015996
19,18,1.3735374127115523
53,83,1.3398702570370264
44,30,1.3420457504689693
53,51,1.3558462405843394
50,32,1.3292139231094293
44,44,1.3424594567290373
53,64,1.3546393747840608
44,81,1.331646361388266
62,14,1.3555361472868495
46,109,1.318434861089502
44,18,1.3487169817090034
53,100,1.3403730834169048
34,22,1.3220390274488767
44,40,1.3560909714017595
2,80,1.3651581374662263
51,64,1.3520168055381094
46,55,1.3391534324203218
46,47,1.3348160676125969
