HSCode,PortOfLading,dist
90,219,1.183426455195461
95,248,1.1839811652898788
95,238,1.1697639926735843
67,170,1.1659342250121492
95,115,1.1829092774008
90,246,1.1829477992973156
95,170,1.1639836047376906
90,248,1.1951631725366627
93,170,1.1863190925547056
53,246,1.1870419760899884
85,238,1.2301987481436558
92,219,1.1884646794226552
67,246,1.1735759696790151
95,54,1.1757929851966245
95,219,1.1712246462702751
95,246,1.1721536400062698
95,79,1.1552395412831433
37,219,1.2315066307783127
93,129,1.1952866423276387
93,238,1.1890770441719465
53,54,1.1943373544407743
90,54,1.1884453086448568
35,219,1.2280825891398959
95,162,1.172860145202971
98,170,1.1833562909492426
59,248,1.250437679035323
90,115,1.1946666525410754
67,115,1.18490735893803
57,219,1.2137313253645385
67,54,1.180946417685066
95,245,1.1773434017917939
90,238,1.1828874094145638
45,222,1.2129999252834491
94,219,1.1802874329899038
93,54,1.1974440099937576
93,219,1.1921483555010386
42,91,1.217233654710331
95,69,1.1959835570305586
42,219,1.1979602789506316
53,238,1.1852441105459417
65,238,1.2054990705634867
93,248,1.2047274426690169
34,59,1.2576596002493585
95,129,1.1744513061961956
84,219,1.2554739378392696
42,140,1.222365252673626
57,170,1.2069974235658134
95,149,1.199710562958249
57,222,1.2099206277302332
12,222,1.183122528983014
95,144,1.180598341859877
46,97,1.2643214645130294
74,127,1.236681985801884
67,127,1.1564851219632797
57,54,1.2185742945543356
94,114,1.1791635666574751
29,26,1.1954930807862962
90,170,1.1766936760395765
45,80,1.2391937549359031
90,29,1.1796781266374248
49,54,1.2782181166112423
96,54,1.185450967401266
96,48,1.212064209527203
43,167,1.228594487266881
63,115,1.2314282764813729
95,114,1.1731267741748266
10,176,1.1673946574862515
35,48,1.2546375856867857
48,93,1.165476350912026
94,54,1.1849877376641547
17,185,1.212252898407834
92,248,1.1989057862332888
90,247,1.1967546567320824
90,149,1.210559776718063
94,69,1.2032498488468784
94,232,1.1873653722660882
64,127,1.184334484860301
94,245,1.1839212269655295
36,219,1.228397084932242
96,219,1.1826084208275591
90,222,1.1802827923425607
41,219,1.2295222218547548
67,148,1.2059125619125552
93,190,1.2222205424415213
46,219,1.2663241837705885
94,222,1.1770985717219966
18,48,1.2691307376538004
95,158,1.200156846416316
29,144,1.2084273326077632
95,48,1.2022179821506143
60,219,1.2184180391154118
45,115,1.2277701108583383
94,188,1.1916776459131921
95,10,1.1866261011787824
95,97,1.1803943774263774
95,77,1.2039445292736803
22,190,1.2124817914196424
42,36,1.2007368228265218
95,126,1.184610796294042
96,127,1.1629484200051852
91,222,1.1749152200562614
96,100,1.1935909480920859
67,76,1.1794571035342025
12,241,1.2096607840753026
95,127,1.1551872439283346
53,185,1.19370552059263
98,245,1.1997591725417547
95,133,1.1731030935687679
12,48,1.212907800450921
96,133,1.183228996183191
90,245,1.187170634046197
94,48,1.2122935989339436
16,129,1.2258367434676205
95,222,1.1683296002447605
31,241,1.2645134893911225
95,76,1.192378775349685
42,111,1.1847685330680437
98,115,1.2018185071647167
90,97,1.193265444466046
10,169,1.1843944450042077
93,183,1.2323864166225706
35,33,1.2522840765970094
95,33,1.2036300760560803
12,129,1.1853469788495983
53,155,1.1949966379574366
94,235,1.1859984855566705
22,48,1.2397592067718506
95,138,1.1592513879960669
95,111,1.1683598751468318
55,115,1.2770803847483225
47,170,1.1835477580981595
48,54,1.2076037619928164
96,111,1.1768047761704241
27,167,1.2224088891276292
94,115,1.1915507718388523
50,204,1.1841687904670835
98,248,1.2051561208707946
5,72,1.1711693704128265
43,213,1.2243946929063116
60,59,1.2391714198248727
36,240,1.2100594799433435
65,48,1.2382553701422043
12,167,1.2128499196177083
36,77,1.2420884599643094
93,245,1.2001614450876201
27,77,1.2203857621976308
27,105,1.19255640384342
90,133,1.1865740213543177
42,238,1.1931312720158271
94,97,1.1899113961096321
12,233,1.183753031572061
95,240,1.1629471986421518
83,135,1.2072944353733743
65,127,1.1881022099405527
95,95,1.1598864692662443
67,81,1.1612224456455027
93,133,1.1941500609474522
60,91,1.2362028969717878
63,135,1.2062946467527322
12,190,1.2023695127240248
12,34,1.1982208956032991
27,216,1.1793285187866007
90,126,1.1953008728367942
94,246,1.1794702737991298
42,48,1.2254438201032047
12,213,1.217011948781354
83,115,1.2275398937719209
96,194,1.1863140330782957
64,170,1.1917285865971021
92,170,1.1797076558162058
65,248,1.217172849524234
57,69,1.2385704280542476
27,185,1.2023068538733892
94,248,1.1926269701548986
12,168,1.1939920977290188
5,108,1.206314045403685
90,131,1.182714816715036
67,33,1.2026875453468944
92,48,1.2193647069590432
67,48,1.2063972436423813
94,144,1.19133004120418
94,202,1.2059214966637748
67,202,1.18917868565768
43,33,1.2386675365269184
98,107,1.198867552514587
95,188,1.1829359494149685
29,77,1.2250717080065183
57,110,1.1914627206112658
36,36,1.2241894395223685
94,33,1.2135686640228545
94,127,1.1643701379985683
55,170,1.2647838869265147
95,135,1.1743778682180814
94,149,1.2071986572950013
94,100,1.1958542519382067
45,219,1.218752721324563
27,12,1.2105538813131196
53,77,1.208316975406238
43,12,1.21490501505988
12,77,1.2091357529695546
12,59,1.21327778590577
60,87,1.1909575462341309
90,93,1.1621649217392718
94,91,1.2062874381829585
43,185,1.2106814701110125
48,48,1.2253304600183452
95,229,1.1563253222598828
45,12,1.2273451552859374
98,54,1.1972117956195558
84,221,1.1761977661933218
95,174,1.2049058704038285
12,185,1.1986581962555647
90,127,1.1682347508945636
94,133,1.1829336264303751
12,111,1.1789339919175421
12,91,1.2095824057469144
52,48,1.2741860928280013
42,139,1.1816029959757413
92,229,1.1678741538032358
90,129,1.1843332866472858
43,138,1.1904828452638216
65,133,1.206675137413965
43,77,1.2282480347369398
5,201,1.1430394415344511
90,69,1.205946912722928
83,54,1.223316595756582
90,144,1.1944711091262954
43,59,1.2305130330579621
42,26,1.1812677415353912
67,219,1.1772003060738956
72,248,1.2549074632780892
94,238,1.1791905031672545
45,170,1.2117531613579817
91,170,1.1707870561097349
41,238,1.224879342530455
95,26,1.1602404160158974
53,80,1.219785098518644
42,54,1.2018866230334555
12,238,1.1844060181507043
50,170,1.2203664449708802
36,92,1.1867039586816515
76,219,1.2694155658994402
40,238,1.2562112707112516
