HSCode,ShipmentDestination,dist
90,38,1.3371075285332543
95,81,1.3475684693881445
95,18,1.3429979511669703
67,89,1.3311722448893957
95,54,1.350507174219404
90,116,1.3447028994560242
95,91,1.3495479438986098
90,83,1.3407590282814843
93,18,1.3303227445908956
53,83,1.3317633824689048
85,81,1.3292766117623873
92,51,1.3070008914385522
95,100,1.3317957797220774
90,81,1.345194011926651
95,105,1.319092876144818
95,89,1.3475825126682008
95,38,1.3387940845319204
95,116,1.3464555037873132
90,109,1.3372749835252762
37,81,1.3253038791673524
90,113,1.3396846566881453
90,89,1.345053989972387
90,9,1.3395470125334603
93,112,1.30825319939426
93,38,1.3251479023269244
53,38,1.3279197663068771
90,4,1.3590262872832162
35,81,1.325427950492927
98,116,1.3317648534263884
59,81,1.313987033707755
95,8,1.313546009361744
90,105,1.3162448427506857
67,22,1.3472370611769813
57,24,1.3262540293591363
67,81,1.3314940971987588
95,51,1.3136153359498297
45,116,1.3281797851834978
94,89,1.3449540031807763
93,89,1.334640842463289
93,81,1.334063752421311
93,91,1.336610632283347
42,64,1.336750973548208
57,116,1.323455450790269
42,22,1.353907829948834
37,116,1.3243757018021174
90,88,1.3478647215025765
95,83,1.3424917310476303
65,46,1.3099651208945684
34,4,1.3243713485343116
95,112,1.324120367211955
93,116,1.3330746697528022
84,116,1.3179876942719733
42,24,1.3390956073999405
90,27,1.3427058649914605
57,38,1.316072674734252
95,99,1.3700301838772637
57,85,1.2932022384234838
12,38,1.3322243498904365
95,24,1.3502708332879203
46,38,1.3210361961807524
74,89,1.3047692110495908
90,97,1.3292793461254664
67,115,1.3321198565619332
57,113,1.3198421193020684
95,59,1.3498119413852692
94,38,1.3369884639978409
29,38,1.3210205563477107
90,67,1.3128558748534747
45,81,1.328990108200482
90,59,1.3486622699669428
49,81,1.294985616845744
96,91,1.3380652091332845
96,42,1.330197076712336
95,115,1.3464237536702837
90,24,1.3480097161872047
43,18,1.3220148150409972
63,37,1.3071840671556336
10,0,1.31967573932239
95,52,1.3406089735882623
35,115,1.3262115248611994
48,116,1.3229806827647346
95,113,1.3435936995915003
95,88,1.3495799005031586
90,54,1.3473766914435796
94,59,1.347653363432203
17,91,1.3152898411665643
35,89,1.3246914382491792
93,51,1.2998436407319136
53,116,1.3353402210133416
92,116,1.3420289265257972
67,100,1.3138448894023895
35,22,1.3425049377339227
90,99,1.365280853850501
95,104,1.348721565944808
94,18,1.3407578872782844
64,89,1.3356606513261795
94,88,1.347860540662493
36,116,1.3140745822872435
93,83,1.3283130058220454
90,18,1.341016954609326
41,81,1.3251455894538335
67,83,1.3259774042027337
93,58,1.3035193053739411
46,89,1.3237499807562148
93,113,1.3303627158914293
90,22,1.361393881695611
18,18,1.2842382213899068
35,116,1.3249689787626266
95,79,1.328050158917904
29,116,1.3280193997280938
95,42,1.3408546320029668
60,24,1.3184535524674825
45,22,1.3458490861313683
94,81,1.3452211362974984
95,22,1.3632936562810625
22,81,1.321873063487666
42,116,1.3373139947652817
95,4,1.3612204236643655
96,89,1.3356688927326883
91,91,1.3463211613042014
96,81,1.3359433859586716
67,64,1.3299158896718706
12,88,1.341902760522706
94,22,1.3611580346311842
12,89,1.3402911584292139
53,88,1.3387194957051958
98,81,1.332825345652444
94,109,1.3371526769229345
12,0,1.3577012164252145
96,24,1.3373545472111021
16,99,1.320182625736509
31,89,1.3205286897718906
42,38,1.3304972318666322
90,91,1.3475796644176756
98,9,1.3276948950120382
10,55,1.238556717123304
93,99,1.3563299285514014
35,24,1.3274900764226913
94,97,1.3293054742472512
12,99,1.3615077499832426
53,91,1.3384324716670173
12,83,1.3355393367154258
94,113,1.3400532752275467
94,4,1.358136460185051
67,18,1.3271963149309158
95,13,1.3177970104983874
22,0,1.3289985922830445
96,38,1.3266188566173827
90,115,1.3443960866757803
55,27,1.317257095660482
47,116,1.3223681088004793
27,38,1.3203226668494088
95,9,1.342511649642672
37,83,1.3208097602639879
94,115,1.3442854604550771
50,120,1.262160814766373
5,48,1.2347284858447634
96,4,1.351635415639196
43,64,1.3247404864856176
95,103,1.3089739041669028
94,116,1.344359619276864
60,22,1.3347214651959283
36,64,1.3146806423153197
65,18,1.3245649603860719
36,18,1.3094226920178957
27,115,1.3266722027744566
94,104,1.3427638156073434
27,81,1.3274154428924834
90,64,1.346165657043457
42,83,1.333673479301589
94,24,1.3476450954164778
83,60,1.2833726682833262
98,113,1.3275574701172965
95,64,1.346919217279979
65,113,1.3204326182603836
67,35,1.3186868759138244
93,64,1.3335303940943308
60,64,1.316865650670869
63,89,1.3166121585028512
12,81,1.3403046940054213
27,42,1.3105207468782152
12,4,1.353898314493043
83,81,1.3240800223180227
96,59,1.3374659227473396
64,116,1.3342017318521227
35,52,1.3123116833823067
92,18,1.3392658552953176
65,83,1.3235387642468726
57,83,1.3192612007260323
27,64,1.324869121823992
42,81,1.3378730533378465
67,116,1.3297488604273116
12,115,1.3402201469455446
5,37,1.2917098445551736
92,24,1.3440492855651038
67,24,1.3328391781875066
94,51,1.3101298330085618
43,42,1.3090483908142363
98,18,1.3304130669151033
27,18,1.321860568864005
43,4,1.3400511997086662
29,42,1.3155277648142405
94,9,1.3390868519033705
90,58,1.31572860372918
90,35,1.3334038108587265
36,83,1.3101420892136437
93,104,1.3350320692573274
55,4,1.3388636942420686
95,27,1.3466775949512209
45,88,1.331411395754133
95,46,1.3390790734972273
27,24,1.3304857079471861
98,115,1.335376684154783
53,22,1.3518208052430833
12,22,1.3570322053773063
60,116,1.316035466534751
91,38,1.3373027805771147
90,104,1.3427787465708596
94,82,1.363747843674251
48,54,1.3189564709152495
27,91,1.3296970469611031
53,89,1.335953141961779
43,37,1.3107904951487268
45,42,1.3152152363743101
98,24,1.3339300538812364
84,24,1.3192560044782502
93,82,1.355012514761516
42,4,1.3505768265042986
12,18,1.3362742832728796
12,27,1.3409536119018282
52,38,1.2940062901803426
43,115,1.3269782726253783
65,4,1.343392740402903
43,22,1.3427515860114778
5,38,1.300542845257691
45,38,1.3222347412790572
45,89,1.327716768852302
12,73,1.3154840565153532
94,27,1.342303408043725
90,51,1.3090898916125298
83,9,1.3144259655049868
94,42,1.3372805650745119
42,88,1.340608227465834
95,60,1.3337531004633223
57,81,1.3239933752587862
67,54,1.3302642958504813
42,89,1.3378156104258128
93,59,1.3376803355557578
72,116,1.3133925274014473
91,35,1.3315368316003255
41,38,1.3185568058065005
92,38,1.335565515926906
53,27,1.3339044323989324
57,88,1.3262952800307954
64,38,1.3284918240138464
59,24,1.3158326361860548
50,115,1.3125747591257095
76,0,1.3026710908327783
96,115,1.3358560098069054
40,18,1.307109711425645
57,9,1.3193218495164598
5,81,1.3077934448208128
94,100,1.3284259991986411
48,113,1.318724193743297
90,52,1.3358962695513452
91,113,1.3386759438685008
90,40,1.3191802586827959
95,0,1.3694128777299608
35,38,1.318384078996522
35,59,1.332733922771045
12,64,1.3397763754640306
91,13,1.3105269191520554
45,9,1.323076837829181
93,88,1.3370364627667837
12,91,1.3438916781118937
45,113,1.3225364685058594
12,109,1.334984910275255
63,81,1.3173954369766372
90,42,1.3372160558189665
42,59,1.344557306596211
94,91,1.34733718420778
91,115,1.3451571698699678
57,115,1.3248536671910967
64,88,1.3395426379782813
94,99,1.3661527591092246
36,4,1.330232520188604
18,115,1.2894358964903014
94,54,1.347187978880746
12,82,1.3598816990852356
26,58,1.2551760719340694
47,24,1.3257407418319158
94,83,1.3403943074601037
43,83,1.3229461865765708
5,24,1.3089457154273987
48,82,1.3446383284670966
92,22,1.3603301516601018
53,37,1.3197000633393015
96,64,1.3367060465472085
90,14,1.3239561564155988
92,88,1.344834721514157
90,100,1.3285706043243408
36,81,1.3148483357259206
3,88,1.3064298959715026
27,82,1.337778485247067
98,105,1.2994533628225327
60,4,1.3307148282017027
22,24,1.323517573731286
