HSCode,ShipmentOrigin,dist
90,18,1.2868273194347108
95,18,1.2887427562049456
67,18,1.311896329479558
93,18,1.2984561121889524
53,18,1.3124511582510812
85,18,1.3444441088608332
92,18,1.3070358644638742
37,18,1.3208684750965662
35,18,1.3075236337525504
98,18,1.2932102701493673
59,18,1.3510603989873613
57,18,1.2983951132212366
95,110,1.304151366863932
45,14,1.302805319428444
94,18,1.2929912986499923
42,18,1.3065251910260745
65,18,1.2968061098030634
34,12,1.337118536233902
84,18,1.3407753535679408
95,107,1.308956934937409
57,61,1.304404504597187
12,62,1.3187281883188657
95,50,1.296158343553543
46,50,1.3424301871231623
74,99,1.3460971585341863
94,110,1.3060063176921435
29,18,1.3157828067030226
45,18,1.304901855332511
90,110,1.2997742614575796
49,43,1.358233047383172
96,18,1.2992156552416938
43,12,1.3271270894578524
63,18,1.316357331616538
95,65,1.3003871382347174
10,59,1.3145764789411
35,4,1.318571897489684
48,18,1.3300167535032545
17,12,1.3539453127554484
94,62,1.3027973505003112
64,18,1.3032694458961487
36,18,1.3126693325383323
41,18,1.3512208312749863
67,17,1.3330237961241178
90,43,1.3007443462099348
46,18,1.3371988300766264
90,60,1.3058934876961368
18,36,1.3256264946290426
95,45,1.318253374525479
29,50,1.3210167714527674
95,79,1.3174957420144762
60,18,1.3142410154853548
45,62,1.3116173318454198
94,80,1.3246691014085497
95,12,1.3057824202946253
95,93,1.3074037453957967
90,79,1.3129215016961098
22,107,1.3391608244606428
42,83,1.3117822014859744
95,43,1.3029580701674734
95,46,1.300434686243534
96,99,1.3002182766795158
91,46,1.3149994271142142
96,50,1.3064560166427068
67,107,1.3262427364076887
12,16,1.329045608639717
53,12,1.3231164036052567
98,110,1.307869047990867
95,99,1.294519416987896
94,65,1.2985054446118218
12,25,1.3370941579341888
94,79,1.3184476771524973
90,107,1.3067546082394463
16,66,1.3529732014451707
31,35,1.2999989446252584
42,56,1.3180250999118601
98,99,1.29274932295084
90,50,1.2952961102128029
10,107,1.337753377854824
93,50,1.3055643056120192
35,8,1.311223907130105
12,66,1.3552186020783015
53,1,1.3374650010040827
12,107,1.3216211455208915
95,58,1.3186636120080948
95,90,1.3201987094112806
67,52,1.3182181056056703
94,50,1.3017433232494764
96,93,1.308141486985343
94,83,1.3185788978423392
95,26,1.3125673734716006
55,18,1.3269594716174262
47,18,1.306411703782422
48,43,1.3407794407435827
96,36,1.3138648473790713
27,12,1.3320856328521455
50,1,1.3337880074977875
5,66,1.3415947684219904
95,78,1.2880527217473303
96,26,1.3160709994179862
94,43,1.307370907494
43,17,1.3230380713939667
60,17,1.3234917425683566
36,94,1.302255968962397
65,36,1.3076787782566888
12,12,1.3210733053939683
36,40,1.313928912792887
93,43,1.31179507289614
95,62,1.3010047865765435
27,17,1.3283313225422586
12,71,1.3239024015409606
94,25,1.3292731855596815
95,98,1.3092465911592757
83,101,1.3285752907395363
67,82,1.3366903008094855
90,99,1.2935241577880723
63,101,1.3144503267748016
27,1,1.3353130796125956
90,62,1.2968976178339549
95,7,1.3242540838462966
12,17,1.3257360681891441
83,43,1.337576029556138
96,66,1.3496453591755457
35,79,1.3195244978581155
65,99,1.294029951095581
57,62,1.306550749710628
12,45,1.3365346150738853
5,30,1.3052270199571336
90,52,1.3020915165543556
67,26,1.330493456551007
92,79,1.3245916664600372
67,36,1.324897397841726
94,12,1.3096404682312692
67,12,1.3260705705199922
98,49,1.3089368170393365
29,12,1.3243650048971176
57,97,1.3061524906328745
94,70,1.303449201796736
94,99,1.2990205798830305
95,70,1.3012192334447588
95,101,1.30916414303439
53,40,1.3253656796046667
60,107,1.3250138152922903
35,36,1.3130011430808477
91,43,1.3178230417626244
48,50,1.3353881580489022
95,27,1.3302917001502854
12,58,1.3256374299526215
95,88,1.316470327121871
45,40,1.3109949145998274
98,43,1.305245680468423
84,52,1.306677139231137
94,46,1.30439578635352
12,36,1.3189753123692103
95,80,1.3240114173718862
52,36,1.3427238294056483
43,34,1.312813085104738
65,50,1.3043472160186087
43,76,1.316224558012826
96,82,1.3294328131846018
5,12,1.346632378441947
45,101,1.3125702887773514
83,93,1.3184958270617895
72,18,1.343117818236351
91,18,1.3048231016312326
12,18,1.307686807853835
50,18,1.3283323709453856
76,18,1.3455270869391305
40,18,1.346815390246255
5,18,1.337129043681281
91,110,1.3160529700773103
12,82,1.3332174984472138
45,93,1.3070386084062713
42,70,1.2999257264392716
47,12,1.3227873359407698
67,43,1.325084584099906
91,62,1.313510655292443
12,4,1.3328852483204432
67,99,1.314194347177233
57,46,1.3101879305073194
95,103,1.3154379650950432
95,36,1.3066213780215807
92,12,1.326778466148036
36,50,1.3186431527137756
12,93,1.3200308233499527
