PortOfLading,PortOfUnlading,dist
219,13,1.1666309794610632
248,38,1.1864173928541797
238,4,1.2063978965660291
170,45,1.20214310501303
115,4,1.1806478896843535
238,38,1.2068957300590617
246,54,1.1766076553612947
170,47,1.1847728469542094
248,40,1.192227536014148
170,4,1.2038980670539396
246,40,1.184510971153421
219,23,1.2013742827943392
248,8,1.196998219937086
219,38,1.1790298944605249
246,45,1.178384858449655
248,50,1.2557062889848436
54,45,1.1893783344754152
219,54,1.1758168914488383
79,38,1.193669823131391
219,4,1.17829941958189
248,54,1.183009504207543
219,45,1.1779056623178934
129,52,1.1640791392752103
238,13,1.194916713184544
54,13,1.1781086235174112
54,2,1.2063695818984084
162,54,1.1638324814183372
170,54,1.199195618075984
219,2,1.1941845509822346
219,50,1.2450900205544062
115,13,1.1681895554065704
248,45,1.185907006130687
115,5,1.1721107374344553
54,38,1.190929380910737
245,47,1.1728080715984106
238,54,1.2032981818275792
170,23,1.226090129730957
222,54,1.1819867044687271
248,13,1.1755002864769526
238,47,1.185747770060386
91,28,1.1912236026920644
69,4,1.1848575228026934
248,44,1.1926371343433857
219,44,1.1849076362060649
219,40,1.1845477607234247
59,2,1.2015322973685605
140,54,1.1591496925268854
69,54,1.1817391067743301
219,8,1.189316393275346
170,13,1.1918634426380907
149,49,1.2211672685308648
222,44,1.1905350062463964
222,13,1.1727749827717031
144,47,1.1760681592194098
97,13,1.2159685151252364
127,45,1.2112996961389269
127,53,1.207675897117172
219,26,1.1818224529602699
219,47,1.1590676374201263
114,13,1.1771838822002922
26,13,1.2015174850821495
69,38,1.184632299201829
80,38,1.1838774480191725
29,26,1.1690547832820033
54,47,1.1722708999046259
48,15,1.2356216758489609
248,53,1.1830899762654943
167,4,1.1887174477534634
115,12,1.1999416375266654
114,38,1.1864832426820482
176,0,1.1194212191330735
170,44,1.2085356204105275
48,53,1.207444554394377
93,54,1.194089877818312
245,44,1.1981138736009598
115,44,1.1864016130566597
69,26,1.186014678063137
54,26,1.193505726089435
185,47,1.1750463861972094
219,5,1.1699323187848287
247,8,1.1952956829752241
232,4,1.233123541077865
238,40,1.213100686503042
222,4,1.1833907807511943
148,40,1.1999043231563908
190,38,1.171104050574026
248,4,1.1869024288441454
54,44,1.1970898820353406
248,5,1.1791850975714624
48,4,1.2165466748577143
158,13,1.1690498228584016
144,54,1.1958238181791134
188,38,1.2296192707227809
10,5,1.1691650341131858
158,4,1.1800197448049272
97,54,1.230016086915774
77,38,1.1931449440973145
245,26,1.1933609385575568
36,54,1.206666347171579
245,53,1.1862611259732927
115,54,1.1766022869518824
126,44,1.1921290372099196
245,38,1.1928514540195465
222,47,1.1651599718523877
100,38,1.1680679374507494
76,28,1.1487869672876383
241,44,1.1807500533759594
127,54,1.2078668815749032
232,38,1.2322028069091695
241,45,1.173362750027861
185,44,1.2021167342151915
133,13,1.202242260931858
48,0,1.2452925383778555
133,47,1.1961147435940802
245,13,1.182381379285029
129,49,1.172538768766182
76,52,1.1277816338198525
111,13,1.2104034493012088
222,38,1.184489011232342
97,47,1.2097317511215806
10,53,1.1702574178842562
169,25,1.1134847799049956
183,49,1.1475917206012778
33,47,1.2122186720371246
245,54,1.190510751945632
33,15,1.246959961468487
170,38,1.2025060020387173
155,47,1.1699293424774493
149,45,1.2174092477985792
241,40,1.1816426190946783
33,44,1.2437804346638066
115,2,1.1948576110880822
48,2,1.2280191704630852
54,4,1.1899674396429742
235,38,1.1665679865649767
158,47,1.1583576885916824
188,44,1.2321728271033083
170,53,1.2003212793331062
138,38,1.2333519639713424
115,8,1.1901247587853245
54,54,1.1872743144631386
167,13,1.1784432918897696
115,53,1.1760972301375918
204,55,1.1249773905479483
245,4,1.1919903489095824
72,20,1.1282825826534204
111,2,1.2364772960011448
213,28,1.1617594957351685
59,5,1.1794796995818615
240,28,1.187429713351386
77,4,1.189966106654278
162,40,1.1705318308834518
77,53,1.179117017758212
105,38,1.1749210549252374
133,28,1.210398328091417
233,40,1.1518317814916372
48,44,1.224933416516121
138,44,1.234790367739541
240,13,1.1801125244237483
133,2,1.229758722441537
135,4,1.213847950766129
127,38,1.2122427044170243
95,15,1.1440842209184277
81,47,1.1620444187096186
135,45,1.2120206936129503
34,44,1.1361868394804853
216,15,1.174506884600435
126,45,1.1867298651486635
246,44,1.1847315848073257
48,5,1.204082685389689
213,2,1.1729240204606737
126,54,1.1855539780642306
115,38,1.1802924807582582
194,26,1.1282009556889534
33,24,1.2941613750798362
69,40,1.1893437834722655
185,28,1.1839807552418538
114,47,1.1673603339919023
168,53,1.1275674455932208
108,12,1.1711092114648116
131,54,1.1660851793629783
248,47,1.1684677123890392
33,38,1.2397639299077647
48,47,1.1935431015278612
127,13,1.199711909783738
144,23,1.2121114869202887
138,2,1.2334969256605421
202,4,1.1889526431581803
202,5,1.169765021385891
107,4,1.174405236063259
167,2,1.194257892136063
114,2,1.1955565216818027
77,15,1.1932315871651684
110,13,1.1442624548716205
36,40,1.2107799787606512
33,2,1.24336466911648
170,2,1.2178195391648583
126,53,1.1796290374227933
149,5,1.2027117615299565
222,8,1.1933288159114974
33,4,1.235504082271031
246,4,1.180863455137504
100,44,1.1683249713054724
126,13,1.1757131977272886
12,15,1.1998365367097514
222,53,1.1788005935959518
115,45,1.1792626846581697
77,5,1.1763920508591192
59,49,1.1974613891382302
87,54,1.1581140881670373
48,13,1.2013101455356394
127,40,1.2182618124144418
91,39,1.193548405809062
229,54,1.1647701098450594
213,12,1.177889167198113
185,54,1.1978285685181618
221,45,1.1708637146013123
174,49,1.2018803539685905
188,23,1.2388380223086901
185,53,1.1843241203044141
111,47,1.203324441132801
111,4,1.2262064670545183
91,8,1.1979385518601962
188,2,1.2352507604019982
139,2,1.1705635956355505
129,5,1.1544316579986895
138,53,1.2169405142111438
100,2,1.1673771063131946
201,13,1.1780546472540923
241,31,1.2337513279968075
245,8,1.1983805405242103
248,23,1.2122063993343286
69,5,1.1757153804813112
144,5,1.186140947309988
26,44,1.2173148026423795
248,26,1.1903167903157217
248,2,1.2016102984281523
238,45,1.2075362064476525
238,44,1.2134918605110474
246,5,1.1703545651481753
246,38,1.179102260619402
115,40,1.185546255803534
26,54,1.2100073312010085
80,8,1.1798723114105607
92,54,1.1875173933804035
219,0,1.209845405604158
219,53,1.1747806052402925
144,28,1.186379496540342
248,0,1.2171108004237925
69,13,1.1748305569802011
79,26,1.1957534121881639
91,5,1.1822696054088218
247,26,1.1835427095315285
238,15,1.2279872340815408
205,26,1.222695103447352
29,47,1.152508672060711
167,54,1.1893491510834013
233,38,1.1547883312617029
205,53,1.2125579163964306
125,4,1.2063381608043398
126,38,1.1880813334137201
2,13,1.164064169196146
22,38,1.1525316071991776
97,28,1.2230007487482257
97,4,1.231052708945104
220,54,1.1576260370867593
240,39,1.2118603592472417
245,40,1.1974930225738458
180,5,1.1588389910757542
218,39,1.100645461917988
59,12,1.2094120487038578
128,54,1.141760392679966
48,26,1.2183668656008584
94,28,1.1520921218075924
212,49,1.1344112096620458
115,47,1.1618357287453753
48,38,1.2201530007379395
222,26,1.185928459911208
36,38,1.208636880985328
127,44,1.2189324120325702
29,38,1.1735996536777489
216,28,1.156247308211667
167,39,1.1851438965116228
232,54,1.231162190437317
138,13,1.2137342465243168
167,53,1.178334270870047
215,5,1.1705560801284653
135,54,1.2101000829466753
185,8,1.1944312793867928
150,47,1.1664083014641489
114,5,1.1765153455281896
165,28,1.1761919224767812
91,0,1.210446088973965
233,53,1.1338522471487522
77,40,1.1927779968827963
250,19,1.1218009894447667
232,40,1.2364843184394496
26,23,1.228375836142472
36,15,1.2072607151099615
216,53,1.1601128216300691
48,54,1.216555746006114
205,13,1.2077986486256123
167,44,1.1951564161905222
229,40,1.1743991425526994
238,49,1.2270138817174094
178,38,1.1564632861741952
238,23,1.229864283115603
174,2,1.2020319210631507
10,47,1.1619461697659321
238,2,1.2204957700201444
62,49,1.1502626304115569
9,39,1.1575929304318768
42,28,1.1477444427353996
205,4,1.221895730389016
144,13,1.1819329779329044
240,4,1.1973169100071703
154,4,1.1731417027435131
205,12,1.2339567099032658
77,13,1.1792346118018031
78,38,1.170196654807244
135,13,1.199608071574143
248,12,1.2084195854674493
97,5,1.2205444992120777
77,2,1.1940628907967559
26,38,1.2118712461420469
246,26,1.1812579759197044
93,45,1.1936995254031249
124,54,1.1314909804080213
220,40,1.1634790917326296
79,8,1.198050474215831
220,13,1.152297886886767
170,40,1.2097089253365993
238,8,1.2172548973134585
222,5,1.1750973324690546
167,5,1.1764665626521622
216,13,1.159214525882687
10,28,1.1670187262685172
54,50,1.2573310754128866
36,44,1.2089988493493624
48,12,1.2341106911855084
115,0,1.207931260179196
