PortOfLading,ShipmentDestination,dist
219,38,1.0782010975692953
248,81,1.0888042726687022
238,18,1.0584576475833143
170,89,1.0716560232852186
115,18,1.0665680875203438
238,54,1.0746044106781483
246,116,1.0841968261769839
170,91,1.0517128599541528
248,83,1.077111579477787
170,18,1.0646987967193127
246,83,1.0792198819773537
238,81,1.0706826749124698
219,51,1.0922165901533194
248,100,1.0931690404457706
219,81,1.0934154417897974
246,89,1.0870544729488236
248,105,1.1648089314943977
54,89,1.0937356940869774
219,116,1.0868731545550483
219,109,1.1252971483128411
246,100,1.0945056240473474
79,81,1.081173968634435
219,113,1.0934951161699635
248,116,1.0827319787016936
219,89,1.0893336907029152
248,9,1.0828444505376476
129,112,1.0726889206894807
238,38,1.0555052044136184
54,38,1.081663980813963
54,4,1.0779892722410815
162,116,1.0523461595709835
170,116,1.0684377956869346
219,4,1.0740513051194804
246,8,1.1398541693176543
219,105,1.1628033396388804
115,38,1.0624301582574844
248,89,1.0855437272361346
115,22,1.0607249710176672
219,24,1.0877006250832761
54,81,1.0978098075304712
245,91,1.060215591852154
238,9,1.0650659799575806
170,51,1.0771699233778886
222,116,1.0893772599686469
248,38,1.074277141796691
238,91,1.0438375757741076
91,64,1.0324329801702075
69,18,1.05612648917096
219,22,1.0752567143312521
248,88,1.0848946422338486
219,88,1.08870553118842
219,83,1.0818332071815218
238,46,1.0829690964892507
59,4,1.0209078778113638
238,116,1.063523342699877
140,24,1.0841499110683799
69,116,1.0600522431944097
219,27,1.0876897318022591
170,38,1.0612643003197653
149,99,1.0582271915461336
222,85,1.1248681096892272
222,38,1.0815982935018837
144,24,1.039209702883714
97,38,1.0319922775296229
127,89,1.0727861720536436
219,97,1.112375215760299
127,115,1.0591941981443338
54,113,1.0992320899718575
219,59,1.0724149633731161
219,91,1.0681760827345508
114,38,1.0839108489453793
26,38,1.0723411398274558
170,67,1.1488799849259002
69,81,1.0664907007345132
80,81,1.0651619441008993
29,59,1.080596768430301
54,91,1.0734636860766582
48,42,1.0356213067591722
248,115,1.071110819333366
167,18,1.0509595028457366
115,37,1.0656174618218626
114,105,1.1635681043512054
176,0,1.0125608034431934
170,88,1.0710176910672868
219,52,1.1055849338216441
48,115,1.0099403043942792
93,116,1.067885565438441
245,88,1.0820915033774716
115,88,1.0734135338238306
219,54,1.1008502787777357
69,59,1.0455517577273505
54,59,1.075128095756684
185,91,1.041408040693828
170,100,1.0794464176786798
247,27,1.0751252036009515
219,104,1.1113025704398751
232,18,1.0434126541284579
238,83,1.0592445933393069
222,18,1.0836780417178358
148,83,1.0298694329602378
190,58,1.0668557440595967
248,18,1.0779921300979498
219,18,1.081326958390751
54,85,1.1277306588100535
248,22,1.0726484632385629
48,18,1.0180765680436576
170,79,1.101193472734719
158,38,1.0331091268786363
144,116,1.0394888727792673
188,81,1.0303166176059417
10,22,1.0435555438910211
158,18,1.0342040487698145
54,24,1.0903061740100384
97,116,1.0423437846558434
54,88,1.0927889051714115
77,81,1.0487138261752469
245,59,1.0652507282793522
190,81,1.063991158668484
36,116,1.0564001654939992
245,115,1.0671015663870744
115,113,1.0766275886978423
126,88,1.0610577263204115
245,81,1.0856850083385194
222,91,1.0717714503407478
100,81,1.0542475134134293
76,64,1.0340985948485988
170,52,1.0861910472490959
241,88,1.082394470593759
248,97,1.1082879267632961
127,116,1.069780882447958
232,22,1.0372781700321607
241,89,1.0820709722382682
185,88,1.061414866575173
133,38,1.0510529088122504
127,24,1.0696062775594848
245,109,1.1119725464710168
48,0,1.0407879331947438
133,24,1.0602939616157008
245,38,1.0719447237040316
129,99,1.0970168305294854
76,112,1.024148989535336
111,38,1.021671511232853
222,52,1.107409216862704
115,9,1.0715016690748078
97,91,1.0238220380353076
10,100,1.0642378899667944
169,55,1.005780923047236
183,99,0.9915574586817196
33,24,1.0249904181276048
245,97,1.099648427750383
33,42,1.0262373587382692
155,91,0.9867337835686547
149,89,1.0649831289691585
241,83,1.0777107264314378
222,113,1.0958385555339711
33,88,1.0268127817128385
115,4,1.0589948312512465
48,4,1.0102094406528133
54,18,1.0854072690542256
222,13,1.1127643872584616
235,81,1.0962206327489443
158,91,1.018799014389515
188,88,1.0241050315754754
170,115,1.0592513593978115
138,81,1.037539975983756
115,27,1.07222784150924
54,116,1.0909521531845843
167,38,1.050413834995457
222,9,1.0901660659749592
115,115,1.0603811591863632
204,120,1.0174795131066017
245,18,1.0737296688104314
72,48,1.0122209015701498
111,4,1.017638701413359
213,64,1.0166437061769622
48,103,1.074167549610138
245,116,1.0796451259936606
59,22,1.021064511367253
240,64,1.0054261210773672
77,18,1.0343106305226684
162,83,1.0485728340489524
77,115,1.0301152037988817
245,104,1.0989623860056912
105,81,1.0566813626459666
133,64,1.0268758396684592
97,24,1.0415118696400896
233,83,1.0566682874092035
48,88,1.0284491000430924
138,88,1.0294841948364462
240,38,1.0285203772197877
248,24,1.0823320304708821
133,4,1.047618608589151
135,60,1.0634980132537228
127,113,1.0783951777432645
95,42,1.007858735775309
81,35,1.0372789267982756
135,89,1.03810190542468
34,88,1.0754721107493554
216,42,1.0487341077200003
126,24,1.0600348780197757
246,88,1.0869138613343239
48,22,1.0130280437214034
213,4,1.0300218042518412
126,9,1.057541114943368
115,81,1.0773902290633746
194,59,1.0378480502279541
33,52,1.0435951756579536
69,83,1.0555648878216743
185,64,1.025693918977465
114,91,1.0720221504036869
168,115,1.0430304975348659
108,37,1.0413904237960065
131,38,1.0398439514350943
248,91,1.064598640160901
33,81,1.0333484672009945
48,24,1.0260240995059056
127,38,1.061089217396719
144,51,1.043863048510892
138,4,1.0102766486150878
202,18,1.0493561175784893
202,22,1.0404464721879256
107,18,1.0051053613424301
144,91,1.0203877495867866
167,4,1.0409387754542487
114,4,1.0750739404133387
77,42,1.0376171613378184
110,38,1.0332289364721094
127,9,1.0706374171589101
219,9,1.0874022713729314
219,58,1.1079733903918947
248,35,1.1215990584875857
36,83,1.0525269428534167
33,4,1.0067111626267433
190,104,1.0842766506331307
170,4,1.0566892987283478
126,38,1.0520598074155194
149,22,1.0456018937485558
222,27,1.0905418332133974
33,18,1.0162997203213828
246,18,1.08066048260246
248,27,1.0833054445683956
245,9,1.0775341003068857
100,88,1.0472460705786943
126,46,1.0717130138405733
12,24,1.0380180653716837
222,115,1.0771650219602245
115,24,1.0706899496061462
77,22,1.0284089729455965
12,42,1.0261600544410092
222,24,1.0905926911426442
59,99,1.0355720520019531
87,116,1.0396741421760194
248,13,1.1049254519332732
127,81,1.0771179332264833
248,104,1.1075646418279834
127,83,1.065504387553249
93,24,1.0686780357999461
91,82,1.0358297005295753
48,54,1.0424506121448107
229,9,1.0884966201015882
213,37,1.0369276106357574
114,81,1.0959817942764079
185,116,1.0598155329270023
221,24,1.0732290839244212
174,99,1.0660333271537508
162,24,1.0515091270208359
188,51,1.023010064797875
54,82,1.083726384810039
185,115,1.04743073454925
111,79,1.057922124862671
111,18,1.024517375709755
91,27,1.0578529270631927
188,4,1.0064672425921475
48,38,1.01579257526568
139,4,1.0623311709080423
69,9,1.0575125369110279
229,116,1.088573632894882
129,22,1.0870455636509828
138,115,1.0139931317950999
222,81,1.096185968656625
100,4,1.0343708796426654
201,38,1.0439997434815658
115,89,1.073876434138843
241,73,1.1527043225775873
245,27,1.077651981796537
248,51,1.0932674753878797
69,22,1.0491682578410422
54,9,1.092797635389226
144,22,1.0285837006356036
245,113,1.0835299124675137
26,88,1.0838450778807913
248,59,1.068245956408126
248,4,1.069643142766186
248,60,1.1293059813656978
238,89,1.0690543007637774
238,88,1.0670489594340324
246,22,1.073563223970788
248,113,1.0884238646498747
170,54,1.0829810230061412
170,35,1.107896196522883
246,81,1.0898402008627142
115,83,1.0652658194303513
26,116,1.0796518144862992
80,27,1.060620508555855
92,116,1.034956434475524
219,0,1.1015782155362623
219,115,1.0755518190562725
238,100,1.0738195202180318
144,64,1.0043555146881513
248,52,1.1001873490001475
170,104,1.0961908825140978
170,81,1.0751522472128272
219,40,1.1518749637263161
248,0,1.096481870194631
69,38,1.053210769380842
219,100,1.0971590067659105
79,59,1.0673836916685104
91,22,1.0475661806496126
219,13,1.108710849923747
247,59,1.0572134937558855
170,24,1.0694511085748672
54,109,1.129827808056559
238,24,1.0631403446729695
238,42,1.0732479010309492
205,59,1.004910937909569
238,113,1.0676843766123056
29,91,1.0716583324330193
167,116,1.0581509081114615
126,115,1.0486347395926714
233,81,1.0640955471566744
205,115,1.0041592759745461
125,18,1.0741345752695841
126,116,1.0602434477103608
126,81,1.0665191974756973
2,38,1.0378130432218313
127,104,1.0976796075036483
22,81,1.0811137950846128
97,64,1.0074439549020358
240,116,1.041489803764437
97,18,1.0352585201284714
245,24,1.0791670829057693
127,54,1.0805708819202013
232,113,1.0541163347661495
220,116,1.047754769878728
240,82,1.0356063576681274
97,58,1.0636500508657523
245,83,1.0755456856318883
111,24,1.0313886326870747
180,22,1.0121479513389724
218,82,1.0265228846775634
59,37,1.028639245246138
128,24,1.0547410526404357
48,59,1.0099793087158884
94,64,1.0230180977710657
212,99,1.0300134303314346
248,14,1.1328367284898246
48,81,1.034573984997613
245,100,1.088108238364969
222,59,1.0750342502391763
36,81,1.0620115606912546
127,88,1.0729513120438372
29,9,1.0850691976291793
216,64,1.0143666655889578
167,82,1.0336868933268957
232,24,1.0484441534749098
138,38,1.0176093120660101
167,115,1.0443591809432422
215,22,1.0391580568892615
185,27,1.0545230135321617
246,24,1.08319432128753
150,24,1.0256604915484786
114,22,1.0787378480391843
165,64,0.9913601630500385
91,0,1.0588545357542378
233,115,1.0490169682140862
77,83,1.036296407292996
250,47,1.011234728353364
232,83,1.0432391270462955
26,51,1.0876083661402975
36,42,1.0516201975988224
115,116,1.0705744267574377
216,115,1.0375694704375096
48,116,1.0270285143383913
245,52,1.0946984035628182
205,38,1.0094510923538889
167,88,1.060552374326757
229,83,1.0848105615670127
238,99,1.0770977136812039
178,81,1.0684147858825912
238,79,1.0965260218695871
238,51,1.0739822494132178
174,4,1.048221305012703
10,24,1.0596066928867782
238,4,1.050584037189505
62,99,1.0684615985623427
9,82,1.0176918392202683
42,64,1.0123221789087569
205,18,1.009868839489562
216,6,1.0667637498783213
144,38,1.0291948946458953
219,46,1.1043127815106086
240,18,1.0345656369713
154,18,1.0319551904020565
205,37,1.0041323825716972
77,38,1.03488880914769
245,22,1.0680277251771517
111,91,1.0113052470343453
78,81,1.0947114660271577
135,38,1.026132746998753
248,37,1.0772692353597708
97,22,1.0315451446388448
205,24,1.0172875693866186
77,4,1.0247137607740504
26,81,1.0856772363185883
246,59,1.0716672821768694
238,104,1.0921008064677673
219,82,1.0785194816333907
93,89,1.0694076046347618
124,27,1.0806523598730564
246,113,1.0888619103602
220,83,1.0416263698467187
79,27,1.076504628040961
115,82,1.062696415398802
219,35,1.1255643868020602
248,40,1.1477277760526963
220,38,1.0409649802105767
246,104,1.1071755622646637
170,83,1.0650595570249217
238,27,1.0650253918554102
170,9,1.0702937844076328
222,22,1.0781096867285669
54,97,1.1216212829042758
69,104,1.0825572535395622
167,22,1.0445084924410497
245,46,1.0922605874282973
216,38,1.0412560660125953
10,64,1.0231985034687179
54,105,1.171469672350213
238,22,1.0510053844856364
36,88,1.0551667607256345
48,37,1.0156008782131332
48,117,1.0969992824164885
115,0,1.0842762679925986
10,27,1.0543017648160458
115,59,1.0575088778776782
26,4,1.069217562675476
71,83,1.0339917105489544
129,82,1.0676861575671606
181,38,1.0219409545617444
149,115,1.04810116839196
185,42,1.0551560603614365
54,115,1.080061355705506
79,22,1.0674964471587114
59,116,1.0370669194630213
97,105,1.118728008121252
158,113,1.0395814656679119
188,18,1.0161814563575067
10,91,1.0385291342224394
54,27,1.092052579724363
48,91,1.0052297647510255
224,22,1.067309663497976
232,4,1.0330785877470459
240,115,1.0272884402158005
115,58,1.0907581938164574
33,38,1.0151930073542255
213,115,1.0343927006636346
158,4,1.0289905002074582
235,9,1.0842767103708215
223,27,1.070913618164403
111,54,1.0486246677381652
216,102,1.0704390665965289
224,38,1.0693892104817289
222,97,1.1172453687925423
127,13,1.094164158217609
240,4,1.0288369534537196
230,81,1.0594328008592129
144,83,1.0351094202404576
125,46,1.076867733682905
222,4,1.0759110706193107
9,4,1.0363590972764152
127,22,1.0610062961599656
118,18,1.0144900833921773
74,38,1.0066503915669662
114,27,1.0890291673796517
122,115,1.0242560159947192
235,24,1.0931372264666217
78,24,1.087033797255052
26,59,1.0679267245743955
232,81,1.0532067698160452
192,4,1.0282918025207306
133,59,1.0432387508584984
138,83,1.0194394362292118
5,64,1.0033191644719668
55,38,1.0192270874977112
114,51,1.0902458280324936
127,35,1.11089011068855
159,12,1.0500331068677562
236,81,1.066209606227598
210,115,1.0306033047714405
54,40,1.156032799743116
162,104,1.0744115667683738
167,24,1.0588933256055628
185,38,1.0536004374069827
36,18,1.0494359011562275
128,100,1.0663749745913915
167,64,1.025818626263312
54,83,1.086203703922885
93,9,1.0634620801678725
247,38,1.069656713200467
219,14,1.1374456237203308
238,59,1.0497273039072752
246,91,1.0668455527297087
170,14,1.1226958454187428
238,82,1.050684374624065
219,103,1.1370570526591368
248,85,1.117850307907377
236,24,1.0559440441429615
1,38,1.049262624233961
128,46,1.0600479681577002
127,52,1.0860865962292467
219,85,1.120266571108784
246,85,1.1132820067661149
210,37,1.0276751842881953
124,24,1.0748499182185955
90,18,1.0382499287703209
69,0,1.070272035896778
80,24,1.0584752788501126
68,38,1.0658079289548499
115,97,1.099164308714015
187,64,0.9923185791288104
57,38,1.0186949100877558
138,18,1.0195053916956698
154,115,1.0273809526115656
249,83,1.0872780222977911
166,59,1.038567156797009
249,81,1.0884012154170446
219,37,1.0794925168156624
127,18,1.0655996458205794
36,104,1.0810110219089049
91,38,1.0551945556487357
73,59,1.0427715903414148
246,9,1.0827883056231908
155,115,0.9946374994303498
222,8,1.1550239489546843
125,38,1.0741817666483777
224,83,1.0770938731729984
246,35,1.1189393156341143
236,40,1.0908058913690704
181,18,1.0206343209637063
10,38,1.0517078042030334
128,9,1.0525996599878584
185,24,1.0609152817300387
248,46,1.1010253639625651
105,83,1.0506368258169718
60,59,1.0576568637043238
143,75,1.0563168924834048
191,13,1.030663087964058
165,51,1.0304434749164753
9,22,1.0384663263601916
127,60,1.11725221760571
41,59,1.0145021682339055
79,18,1.074021183952157
236,89,1.0596535660858666
133,18,1.0540828719469053
77,27,1.0430388159251638
143,38,1.0761284826855575
33,115,1.0109901513372148
167,91,1.039554298456226
230,91,1.0335676542350225
33,37,1.0131130335586411
81,115,1.0270202899617809
144,100,1.0495982855957533
170,113,1.0744190772197075
153,81,1.0143407602860992
219,60,1.1334611499415976
162,81,1.058688105217048
140,4,1.0693324976933323
238,52,1.0822317022830248
54,54,1.1047460191018348
127,14,1.1242542666150257
54,0,1.109030744260443
80,89,1.0592059684651238
215,115,1.0447411835193634
149,116,1.0604688919016294
216,27,1.0504811452701688
126,0,1.0636277137590306
193,59,1.0176923386752605
133,52,1.0809864681214094
22,89,1.0715111114882998
202,64,1.0196900186794144
133,81,1.0687007132385458
204,4,1.0319561261151518
126,83,1.05473592877388
222,79,1.1207301617333931
29,115,1.0785463420408112
159,116,1.0680682639192258
153,18,1.0025229124086243
29,18,1.085569238556283
54,22,1.0804539517432983
80,38,1.0551671347181713
149,37,1.052872951275536
114,116,1.0901225773351533
245,54,1.0901046581566334
50,64,1.0127488284238748
127,98,1.1588189112288612
182,70,1.0020364592117923
185,22,1.044586764914649
88,38,1.0246643439999648
129,18,1.0943987402798874
126,18,1.0537988848851196
115,54,1.0839650806571757
31,22,1.0025141590407916
100,51,1.04631286327328
29,105,1.1593004199010986
241,76,1.1666268296539783
232,97,1.0760128327778407
205,91,1.000133138682161
97,79,1.0738603680261545
113,59,1.0423518548154138
5,91,1.0166607461869717
29,27,1.0885469200355666
10,115,1.0461627143834318
33,51,1.0312742782490594
54,46,1.1106601141444636
220,115,1.0403161655579294
133,91,1.0426337290555239
52,99,1.0314803134117807
239,99,1.0492296503590686
222,109,1.128463037578123
170,22,1.058349207376263
114,89,1.0919233651033469
248,109,1.1209084104214395
59,82,1.0127508167476793
170,0,1.0840884950011969
163,38,1.0392864480880755
80,104,1.075011589697429
246,52,1.098614753889186
170,59,1.0559241228869982
133,51,1.0668337696364947
80,116,1.0588027805622136
242,22,1.0314713777708155
248,111,1.1700651507292474
193,64,0.994362721485751
95,38,1.0163331959795738
126,91,1.0408094243279524
40,38,1.0368910401552316
125,115,1.072584385917123
126,4,1.0448904253010238
97,13,1.066594477210726
158,52,1.048835554825408
54,20,1.172803608567587
223,116,1.0709459648600645
207,99,1.0572288331708737
23,64,1.0247826070657797
51,22,1.0075433323425906
48,51,1.0324912288758372
149,18,1.053714535598244
224,116,1.081619827608977
242,91,1.0302650308502572
114,9,1.0864351309303726
188,64,0.9920816969658647
240,59,1.0263874584010668
222,46,1.1088162864824491
44,38,1.0427419897168875
33,22,1.0093660641993796
54,120,1.115658460451024
109,115,1.0371143666229077
196,59,1.0323722884058952
246,38,1.0768525068249022
205,71,1.0500871004270655
245,13,1.0982217341661453
122,38,1.0286584334181887
127,91,1.0530430969915219
155,18,0.9974346182176045
26,60,1.116038702428341
158,103,1.0679257650460516
56,81,1.0273466791425432
33,75,1.1028684920498304
248,63,1.1753075213304587
41,24,1.0270412439214331
124,116,1.0746193123715264
63,116,1.0952576460050685
174,115,1.0554336516984872
54,100,1.1014152557722159
144,103,1.0756252125969954
9,91,1.0334949637097972
29,116,1.0920783111027308
238,112,1.0762731557978051
79,83,1.0734031604869025
