PortOfUnlading,ShipmentDestination,dist
13,38,1.2576346269675664
38,81,1.2600331125514848
4,18,1.264020959181445
45,89,1.252210914024285
38,54,1.2535129657813482
54,116,1.2629419501338686
47,91,1.2495614045432635
40,83,1.2531838991812296
23,51,1.2339581165994917
8,100,1.2651224019271987
50,105,1.1699478740338236
54,109,1.2397977645908083
54,100,1.269588586475168
4,113,1.2511478034513337
38,9,1.2543296345642634
52,112,1.1928058271961552
2,4,1.2499456480145454
45,8,1.2237239884478706
5,22,1.2493852483374732
38,24,1.2590047812887601
54,9,1.2521700731345586
28,64,1.2493240726845605
38,22,1.2644377233726638
44,88,1.246196978858539
54,46,1.2341719080827065
54,24,1.2560317463108472
8,27,1.2543653537120139
49,99,1.186861916844334
44,85,1.2353022577507156
47,24,1.2495237003479684
38,97,1.2488715111144952
53,115,1.2542240609015738
38,113,1.2555977159312792
26,59,1.2540804264800889
54,67,1.2102859653532505
15,42,1.2201143716062819
40,24,1.2481665036508016
12,37,1.2418047349367822
38,105,1.2224587971078498
0,0,1.2008253884102618
38,52,1.2552036696246691
54,113,1.2537986231701714
45,54,1.251504191330501
4,100,1.2657520127083575
38,104,1.252818142729146
38,58,1.233913257185902
47,79,1.2256860435009003
45,24,1.2582376801541872
13,52,1.2486020342579909
38,109,1.2427486766661917
53,100,1.2630581930279732
25,55,1.0949561085019792
54,97,1.2479715001370226
13,13,1.254657327064446
55,120,1.2097314489739281
20,48,1.094393293772425
53,103,1.227377839120371
54,104,1.251475766301155
13,24,1.2524839852537428
4,60,1.238828606903553
47,35,1.2249664813280106
24,52,1.1812301581459386
54,22,1.2627035134604998
54,38,1.2644581911819321
5,9,1.2449948926057135
47,58,1.219754334539175
44,35,1.2215406649879046
53,38,1.2607146065149988
13,46,1.2293079635128379
15,24,1.228060667003904
54,13,1.26051243607487
40,104,1.238295235804149
39,82,1.2114158762352807
13,54,1.2476268325533186
54,82,1.267012664249965
31,73,1.0790554573759437
54,60,1.2423695687736784
54,52,1.2533544270055634
45,104,1.2512454709836416
54,40,1.2321412148220199
13,116,1.2600186552320207
54,54,1.251176875616823
54,14,1.2297106896127974
47,4,1.267073287495545
19,47,1.0840830832187618
45,79,1.2366345758949007
15,6,1.1712598180664437
38,82,1.2681015995996339
54,27,1.2639765686222486
45,35,1.228721735732896
38,40,1.2352979172553336
40,97,1.2340366787144117
13,117,1.217817158039127
44,24,1.2504481641309602
54,105,1.221346639096737
54,58,1.2323515436479024
15,102,1.1547587577785765
38,13,1.2628190128930978
28,59,1.2527835283960616
38,12,1.2211645123149668
44,14,1.2166712675243616
38,14,1.2306373651538576
4,103,1.235915900341102
45,58,1.2317498049565725
44,13,1.2526105791330338
45,85,1.2452468339885985
44,8,1.2142929301730223
33,75,1.077684314389314
32,13,1.1887560869966234
45,60,1.2423725873231888
38,60,1.2440271590437209
45,46,1.2328825523810727
47,52,1.2444328250629562
13,79,1.2327328707490648
54,98,1.211242956242391
30,70,1.106191618484445
38,79,1.2386440538934298
34,76,1.076473695824721
38,46,1.2351318962339843
54,111,1.2034150995314121
47,46,1.2233577157769884
38,20,1.198167678900063
53,91,1.2549480348825455
47,71,1.2161369057638305
47,13,1.2498507829649108
13,91,1.2558913209608622
53,60,1.2335906390632903
45,63,1.1975255832076073
38,100,1.2723671165960175
5,104,1.240625938134534
53,113,1.2475022045629365
38,8,1.2274030792926038
54,15,1.2301150507160596
1,2,1.068909015506506
15,104,1.2129234384213174
45,13,1.26004892374788
54,110,1.1932624860533647
44,60,1.2334940252559525
35,77,1.0944733629003167
5,15,1.2169168974672044
5,116,1.2569112649985723
13,6,1.2239827189062322
13,109,1.238594082317182
45,52,1.2534799203276634
54,20,1.196850876723017
18,45,1.1275330274033226
54,35,1.2329218057649476
47,109,1.2321370073727198
38,5,1.2073773475629943
13,118,1.2085118820624692
37,80,1.0642561646444457
47,54,1.2440342626401357
38,7,1.2212738942887102
0,113,1.2356801267181123
4,104,1.2466293584023203
54,107,1.2014592327177525
44,58,1.2216903471520968
45,14,1.225315864597048
13,51,1.2677754030695982
4,9,1.2505879098815578
13,25,1.2085175282721008
4,23,1.2217910098178046
38,67,1.2108056933752127
14,39,1.0859570555122835
22,50,1.058213951099398
13,103,1.2365139813295432
4,112,1.2541210795087474
54,10,1.200256195451532
45,109,1.240904983665262
44,79,1.226929824267115
54,115,1.2630579333220209
4,82,1.2608533310038703
38,30,1.2135988492518663
13,14,1.2288205437362194
36,78,1.0619815595980202
13,88,1.2519239793930734
40,95,1.1831269511686904
44,52,1.244776868394443
54,103,1.2429984648312842
54,19,1.2071751965475934
13,4,1.2716016758765494
43,87,1.073366314438837
28,27,1.2485049899135316
38,53,1.2082486285695009
13,85,1.2459913023880549
54,79,1.2365660199097224
54,8,1.2262223756739072
54,106,1.205576555537326
54,30,1.2119808300797428
39,113,1.220569086926324
12,100,1.2374461647123098
13,100,1.26519625633955
13,96,1.1978729101164
38,15,1.2315205803939275
38,38,1.2669863126107626
13,86,1.1935798451304436
46,90,1.051549053085702
47,88,1.248543300798961
53,27,1.2580368082438196
