ShipmentDestination,ShipmentOrigin,dist
38,18,1.1930955959750074
81,18,1.1847509391871947
18,18,1.1928717914436544
89,18,1.192313430298652
54,18,1.2080243755398052
116,18,1.1887264813163452
91,18,1.201960053294897
83,18,1.1791392791118207
51,18,1.189346450247935
100,18,1.1966418687786375
105,18,1.2144891108785356
109,18,1.202759774401784
113,18,1.190182805510371
9,18,1.201888011236276
112,18,1.2449617087841034
4,18,1.1748414502612181
8,18,1.2382597718387842
22,18,1.1865589851513505
24,18,1.187718839068631
91,110,1.1953946144453116
116,14,1.1702689427350248
64,18,1.1976246067455836
88,18,1.1893301886905516
46,18,1.2238689404247063
4,12,1.1522063588989633
27,18,1.1907373407323445
99,107,1.1764516633536135
85,61,1.1698679347921694
38,62,1.177269659936428
24,50,1.1587888255183185
38,50,1.1623726758573736
89,99,1.192571793283735
97,18,1.2018292197691542
115,18,1.1924495579940932
59,110,1.1775032691657543
38,110,1.1883607586579663
67,18,1.241126379796437
81,43,1.1782264177288329
42,18,1.2075706997088023
59,18,1.1823725075061833
18,12,1.1697241977921553
37,18,1.181007289460727
105,65,1.189217590859958
0,59,1.1143401169351168
52,18,1.2019675076007843
115,4,1.15731090466891
88,110,1.1845716128924064
91,12,1.1805657898741109
99,18,1.1898133738099463
104,18,1.1992695416722978
18,62,1.1751649683075291
83,17,1.1498805884537953
89,43,1.1857720416571413
99,110,1.179397457412311
58,18,1.248309042038662
18,43,1.1866364958030837
85,18,1.2188475994127137
22,60,1.1882387506110328
18,36,1.1457154346363885
79,18,1.2340977628316199
38,45,1.168661114360605
116,50,1.1596896166780166
42,79,1.1660822092422418
22,62,1.169657174763935
81,80,1.1498174284185683
22,12,1.162769461582814
18,45,1.1675479662205492
24,93,1.169596232207758
88,79,1.1585107883438468
81,12,1.1641785747238569
22,43,1.1808871274281825
81,107,1.177154575075422
116,83,1.1656631997653417
4,110,1.1687703688762017
115,110,1.1865588501095772
113,43,1.1834334679214018
88,46,1.190303789185626
59,43,1.1758148385477918
81,110,1.1789537237158842
91,46,1.2034114109618324
81,50,1.156719626060554
64,107,1.184218372484403
52,43,1.1936004178881245
88,16,1.1756874663489205
97,43,1.1944200407181467
116,110,1.1835915579327516
89,16,1.1778029426932335
88,12,1.1679678306515728
24,99,1.1879143879881926
109,65,1.1808992901018687
0,25,1.136418582339372
59,107,1.1768611977043162
18,79,1.1593408712318964
99,66,1.1462350466421671
18,46,1.1928047809217657
89,35,1.1861057534281696
116,60,1.1897025762924127
112,107,1.2203124705702066
38,56,1.1577130875417165
52,46,1.2032303432268756
9,99,1.2000054099730082
91,50,1.1715952546468802
100,12,1.1760738726173128
55,107,1.2139372937381268
99,50,1.1587861100477832
24,8,1.150695295206138
97,110,1.1872927684869086
116,43,1.1826831770262547
91,1,1.1566463128796645
83,107,1.1723891304406737
113,62,1.1715439431635397
88,58,1.1356091446110181
4,90,1.1459214964083262
18,52,1.185052810768996
