Carrier,PortOfLading,dist
243,244,0.8128569386899471
34,217,0.8157620600291661
135,217,0.8896144619211555
399,244,0.8107986776823444
112,171,0.841691574880055
103,217,0.8386060329420226
112,217,0.8501779107110841
182,217,0.8199344277381897
528,234,0.780960177736623
473,217,0.8034412706536906
154,56,0.8043634912797383
240,171,0.8170290642551014
574,217,0.8286378995648452
168,242,0.8106816570673671
502,51,0.846828858900283
368,244,0.8349558350164443
137,171,0.8041712237255914
100,217,0.8245025443445358
168,175,0.8176837173689689
303,244,0.8323985313098612
182,234,0.8084769004157611
329,244,0.7996364400855133
241,51,0.8128262434953025
375,78,0.8844354667567781
373,51,0.8378516653818744
168,171,0.7977926156350544
457,116,0.8122082448431424
538,217,0.8164727027927127
457,171,0.8037433507187026
291,171,0.8225296288728714
272,77,0.829547314771584
359,217,0.8328892796167305
23,217,0.8133955895900726
230,217,0.8094427064061165
373,244,0.8377065175612058
59,244,0.8177537364619119
457,217,0.8133638075419835
508,171,0.7859227338007518
117,116,0.8040159605443478
23,242,0.8185635379382542
530,217,0.8560545875557831
586,217,0.8347834603461836
368,171,0.818184460912432
564,217,0.9592238164373806
303,217,0.8257270583084652
243,51,0.8141769277197974
34,244,0.821355768612453
398,171,0.8315104480300631
277,234,0.8023282140493393
3,234,0.8926283179649285
329,217,0.7924962533371789
241,244,0.8140041950557914
249,217,0.806080491415092
343,67,0.8706822549658162
249,244,0.8133943014379058
34,220,0.8191863575151989
303,77,0.836721978017262
103,232,0.8986672507598996
240,244,0.8338255308169339
249,51,0.8131914559219565
61,244,0.8424701796445463
168,217,0.8068185714738709
112,244,0.8567371852695942
59,217,0.8116176852158138
168,130,0.8237612721111093
446,217,0.8102325797080994
23,234,0.800704365330083
230,244,0.8163630196026394
329,171,0.7841361505644662
277,51,0.8182885018842561
243,234,0.7981579881161451
368,217,0.8274044868137155
368,234,0.8161227117691722
68,51,0.8699670295630183
334,217,0.8124594427645206
116,116,0.7857628614043018
334,244,0.8201591010604586
329,51,0.8009729268295425
257,244,0.8356967366167477
104,189,0.9051052289349693
457,56,0.8192984057324273
334,45,0.7742366716265678
334,220,0.8167878333479166
368,242,0.8311386209513459
115,234,0.8607183833207402
115,171,0.865567364862987
59,233,0.8790326425805688
23,244,0.8192863299378327
329,116,0.7920292764902115
105,242,0.8248080632516316
101,217,0.858103244166289
320,217,0.8462364109499114
485,217,0.8140993698367051
373,217,0.830358875649316
457,244,0.8197153263858387
117,21,0.8201448520911592
359,171,0.8277207857796124
126,51,0.8415041443492685
241,217,0.8056676142982074
277,171,0.7986659098948751
578,217,0.8262074557798249
116,244,0.789717367850244
489,51,0.9236524046531746
240,217,0.8279416694172791
112,67,0.850440148796354
168,244,0.8126028041754451
343,244,0.8696786553731987
232,244,0.8223079347184726
227,217,0.8504223498914923
413,171,0.8218304961919785
303,171,0.8163447220410619
498,217,0.8688819743692875
249,133,0.8307027348450252
61,171,0.8272101261786052
508,217,0.7968732597572463
202,217,0.8272261587636811
248,217,0.8775900283030101
529,217,0.832663131944303
303,235,0.8279687485524586
230,236,0.8415794926030296
103,171,0.8275798335671425
329,241,0.7929562702775002
112,241,0.85173499584198
103,244,0.8453372131500926
230,220,0.8140543449137893
39,146,0.8462261493716922
241,100,0.914330493658781
303,45,0.7910388835838863
241,45,0.7693899571895599
230,241,0.8116076460906437
253,149,0.9445090712979436
586,51,0.8387663375054087
334,28,0.7863133725311074
373,241,0.8317410296627453
334,99,0.8499749306190226
82,56,0.8074112619672503
334,242,0.8181591056553381
34,141,0.8480269823755536
562,116,0.8627232136204839
334,168,0.8269986401179007
334,139,0.8017645443656615
334,33,0.8121267131396702
303,220,0.8285533962771297
456,108,0.9802683698279517
277,244,0.8166147874934333
240,220,0.8316331068053842
241,56,0.8002103726778712
359,141,0.8696336562612227
473,244,0.8114042074552604
329,236,0.825851958245039
334,235,0.8054396169526237
334,241,0.8153941754384765
241,236,0.8372184072754213
168,116,0.8069299597825322
303,241,0.826767495301153
329,234,0.7831458545156887
112,116,0.8482084998062679
334,188,0.8317175784281322
282,38,0.8980831022241286
456,194,0.9217930308410099
359,168,0.8553642454291028
241,207,0.8985784672466772
112,230,0.9398251750639507
82,210,0.8141945813383374
473,45,0.7723110041448048
241,241,0.8105419847582068
117,242,0.8093886088047709
100,234,0.8138756225151675
303,202,0.8071712415133204
431,154,0.8341666404157877
334,144,0.7965574072940009
34,202,0.8125584636415754
329,154,0.8185328851853099
373,160,0.8472369430320603
456,192,0.9013298622199467
230,141,0.8467961291649512
240,241,0.8276530887399401
334,91,0.8224011672926801
334,171,0.8025279736944607
580,236,0.812194940767118
241,153,0.8479597557868276
396,101,0.931788618011134
240,242,0.8303670457431248
590,244,0.838986872030156
590,133,0.8388937924589429
580,162,0.8620923373049924
117,241,0.8052341490983963
329,220,0.7948018248592105
241,26,0.867529258265027
168,220,0.8103497885167599
31,185,0.8324884538139615
240,51,0.8353460878133774
241,111,0.790055085505758
303,33,0.8273845165967941
241,116,0.8088780231773853
240,189,0.9194627425500325
398,244,0.8493520271565232
518,97,0.8945067340308535
116,51,0.7927425474460635
