Carrier,PortOfUnlading,dist
243,62,1.1426796424701544
34,62,1.146918066910335
135,50,1.1489192466916782
399,62,1.1136750291500772
112,49,1.135912090007748
103,43,1.129886927615319
182,49,1.1252357810735703
528,43,1.1429634147456713
473,15,1.1460641264649374
154,8,1.1278050837240048
240,45,1.1576783725426398
574,45,1.114127445433821
168,62,1.1447940234627043
502,62,1.1540355533361435
368,15,1.1251424700021744
137,30,1.1662768253258295
100,30,1.135438768459218
168,30,1.1715248433673489
303,61,1.1551985953535353
182,50,1.1254497489758901
182,62,1.1098303539412362
329,10,1.1734143036550708
241,50,1.1555677077599935
375,62,1.1373207169984068
373,62,1.1458753278212888
168,52,1.1446661544697625
457,10,1.170060696080327
538,62,1.1455292257347278
502,45,1.1731879338622093
457,27,1.1729903945483133
291,61,1.1163612034704005
303,62,1.1473282447883062
272,43,1.1195503513195686
359,50,1.1423401811293192
23,62,1.1276462557060378
230,49,1.1497071023498262
373,43,1.1451531180313654
59,43,1.139382594664182
457,50,1.1500404854970319
100,15,1.1115690554891313
508,43,1.1369241252541542
117,6,1.1241154713290078
23,43,1.125389804797513
530,6,1.07941861557109
586,45,1.1408894660250684
530,49,1.0930207164159842
368,43,1.1177820478166853
368,45,1.1375816272837775
564,27,1.0812260157295637
303,43,1.1462185457348824
243,49,1.154756392219237
398,62,1.1166229918599129
277,43,1.136882065662316
3,15,1.1039054516170705
329,6,1.1402089766093664
249,62,1.12375315704516
343,45,1.1023585155074085
34,6,1.146564971123423
303,30,1.1730589720287494
61,50,1.1376093139073677
168,50,1.158093267253467
112,45,1.142310719937086
23,10,1.1630000546574593
168,6,1.1446578460080283
457,62,1.1371705244694437
446,50,1.1687949451484851
59,45,1.1608508416518037
230,43,1.1366142955209528
329,52,1.1395727688712733
243,43,1.1396460091013327
368,49,1.132934030677591
368,30,1.1456156463495322
68,50,1.095474271635924
334,30,1.1552823915013246
116,43,1.1264228959168707
334,62,1.1322619839172279
257,45,1.2001594878467066
104,43,1.1472140486751283
249,15,1.1286567279270716
457,52,1.1372320223599672
277,64,1.2297208029776812
457,44,1.1760696188014532
334,18,1.1682779948626245
334,2,1.1406121351922462
115,50,1.1125215303951077
59,50,1.156780033139512
23,30,1.152487926185131
105,43,1.1423254472735738
101,52,1.0968287246567863
320,43,1.1404243613194143
485,6,1.1686106505138534
117,15,1.125352711549827
126,62,1.1257335426551955
241,62,1.13968943684761
303,49,1.1586866421358926
578,6,1.1197326528573674
116,15,1.1314867245299476
334,43,1.1298623028477388
489,43,1.0816195383667946
240,43,1.1384898110159807
112,8,1.1202310818646635
343,15,1.0838069906624566
232,8,1.1614843122661114
227,6,1.1040846203852976
413,6,1.1328829292740141
23,45,1.144042689885412
498,10,1.134183117620913
249,59,1.2175647201282638
508,49,1.1520074627229147
