Carrier,ShipmentDestination,dist
243,114,1.0152164154819079
34,117,1.0208341389162732
135,90,0.9751002098034535
399,117,1.0096149795821734
112,44,1.0363625208181995
103,82,0.9987827997122493
112,105,1.0389813496065992
182,89,1.0200059467128344
528,82,1.0267291505421912
473,35,0.9951376364167247
154,21,1.0032375391040529
240,105,1.0143474271421187
574,84,1.0470963673932212
168,8,1.0204219791506017
502,117,1.002650325785258
368,35,1.0003521498292685
137,59,1.0184022303437814
112,89,1.0100872376933694
100,59,1.0160024677004134
168,59,1.0051282827875443
303,116,0.9919510638075215
182,23,1.0195584573916026
182,117,1.0171055807066816
329,25,1.009745622852019
241,90,0.9952087279941354
375,117,0.973442428080099
373,8,1.0219537844615323
168,92,0.982984901538917
457,25,1.0252241327294283
538,117,1.006455706698554
502,84,1.0051492416366403
457,49,1.0147923034216677
291,116,1.036800586751529
303,21,0.9955024687307221
272,82,1.0111775768122502
359,90,1.0014108890401465
23,117,1.0117539114185743
230,89,0.985106558139835
373,82,1.0002167208918504
59,82,1.0186131722127487
457,90,1.031153252614396
100,35,1.0025300987597023
112,10,1.070127600030641
508,82,1.014363681764475
117,59,1.0061387621930666
23,10,1.0733847902821643
530,16,0.9950949828073915
586,84,0.9604981640087706
530,89,1.0126025147536504
368,82,1.0028098072590572
368,84,1.0080381172842212
564,49,0.9859876398529325
243,89,1.0122693492365735
398,54,1.0410916076174803
277,101,1.0310466191066163
3,35,0.998815326818398
329,16,0.9954171822007213
249,117,0.9993572116696409
343,84,1.0241884951080595
249,23,1.004677100772304
34,16,1.0056927666467215
303,59,1.0123204314815146
240,84,0.9877251517027617
61,23,1.0193309891702873
168,90,1.0103425396872419
243,117,1.0085399400975024
23,25,1.0140632092952728
168,16,0.9903072847851685
457,117,1.0254868056092943
112,11,1.0624538819704736
446,90,1.0045085389699255
59,84,1.0275130216032267
230,82,0.9750871190668217
329,92,0.98725136396076
243,82,0.999718818015286
368,89,1.0136186299579484
368,59,1.0075523761500205
68,90,1.045691215034042
334,59,0.9802164427403893
116,82,0.9788732725594725
334,21,0.97184496106846
257,84,1.0136571531849248
104,82,0.9870522285678557
457,58,1.0525550480399812
277,122,1.0811476058193616
457,83,1.0365838302033288
334,40,0.9986245307539191
334,3,0.9536756213222232
115,90,1.031024999118277
59,90,1.033330344461969
23,59,1.0102639212938291
105,8,1.0190343846167838
101,92,0.9888894983700344
320,8,1.0243225722972835
485,16,1.0437148583254643
303,114,1.0230358692684345
117,35,0.9929969499685934
126,117,1.0080180947801896
241,117,0.9865823292306491
277,23,1.0221787982819868
303,89,1.0131555487002646
578,16,1.0746159979275294
116,35,0.9755092875233718
334,82,0.9762506346617427
489,54,1.066818563101281
240,82,0.9809054218764816
112,21,0.9934561981353909
168,117,1.004965397396258
343,35,1.012576195278338
232,21,1.0038994393710579
227,16,1.0069427341222763
413,16,1.0374296815799815
23,84,1.0100192008540034
498,25,1.024233948971544
249,113,1.070971637165972
508,89,1.0256699954292603
202,3,0.9715016617306641
248,8,1.010080048880939
529,35,0.9717355269406523
303,3,0.9774330418024745
230,90,0.9872497946822217
103,23,1.0132400952279568
112,82,1.0017224558053255
103,84,1.0082969761320524
230,117,0.9811749230804188
39,3,0.9701619215442666
241,3,0.9535133828009877
303,23,1.01657436282507
34,84,1.0202536137242402
241,16,0.9724128275577512
230,50,1.0279484109154768
253,77,1.0121953360337232
586,90,0.9675505767975535
82,21,0.9670978976147515
334,8,1.0080055169029427
562,82,1.040453180404646
334,89,0.9844818125878062
456,34,0.96172525201525
473,114,1.0225412079266138
334,16,0.9700323678553104
329,90,1.012631495882358
168,116,0.9869215754526002
334,35,0.9721018331391471
334,44,1.0239237983311926
303,117,1.0120290342186178
329,105,1.0453885194978543
282,63,1.0182131315980638
