Carrier,ShipmentOrigin,dist
243,21,1.182499164449317
34,21,1.1627875688884939
135,21,1.2295349554291792
399,21,1.2066169657877512
112,21,1.1870008196149553
103,21,1.1701326710837228
182,21,1.1856188039694513
528,21,1.1910713581102235
473,21,1.1716160250029393
154,21,1.1985645932810647
240,21,1.1792375594377518
574,21,1.1830131603138787
168,21,1.1809555941394396
502,21,1.1583500557712145
368,21,1.170028601373945
137,21,1.1409371415419238
100,21,1.194263284759862
303,21,1.157728276880724
329,21,1.1903432655547346
241,21,1.1898255704769067
375,21,1.1959695204028062
373,21,1.186202525693391
457,21,1.1918821781873703
538,21,1.198086688561099
291,21,1.2019394290234362
272,21,1.2327136467543565
359,21,1.170052316571985
23,21,1.1796924844384193
230,21,1.1861625920448984
59,21,1.1795239584586983
508,21,1.1661194541624613
117,21,1.2047469607953514
530,21,1.2138273189110416
586,21,1.1931739888885724
564,21,1.257327750325203
398,21,1.2046459919906087
277,21,1.183510602584907
3,21,1.2271513920277357
249,21,1.1844745805220944
343,21,1.1646638842565673
61,21,1.1945527579103197
446,21,1.1942897353853499
68,21,1.2372058864150728
334,21,1.1880734911454576
116,21,1.2170707402484757
257,21,1.1886412043656622
104,21,1.1936878327812468
115,21,1.2594606471913201
59,55,1.2388447082734533
105,21,1.1785289661160536
101,21,1.201437771320343
320,21,1.1783843860030174
485,21,1.1716487114982945
126,21,1.17521697389228
578,21,1.2173032292297907
489,21,1.2122875162001168
232,21,1.1773617485804218
227,21,1.193026741700513
413,21,1.178432924406869
498,21,1.2386398104551648
202,21,1.174851495506508
248,21,1.2406244384390968
529,21,1.2147623321839742
303,102,1.2561642048614365
168,62,1.209400053535189
230,37,1.29694129633052
329,109,1.2170807218977384
112,109,1.2121209119047438
230,49,1.2081410576190268
39,81,1.1657501395259584
241,96,1.2666480732815606
303,77,1.2182118445634842
241,77,1.2595896859254156
230,109,1.2134131682770593
253,105,1.1600649080106191
334,68,1.24026101401874
373,109,1.212983752999987
334,53,1.1959592085331678
241,89,1.296302171157939
82,20,1.1869489401578903
34,30,1.2640932574868202
562,46,1.2034095523080655
334,14,1.189320652612618
334,25,1.3023093651447977
230,18,1.2515246900064605
303,49,1.1794743548546518
456,31,1.2647826905761446
277,60,1.2501955053636007
240,48,1.2059512228838034
241,20,1.224286647779601
359,99,1.2079208136669226
473,60,1.250218614935875
334,77,1.2522494164960725
329,18,1.2575302698782511
334,62,1.2166666835546494
334,93,1.2383152416774206
112,96,1.2557170784899168
334,109,1.2166594532983643
241,18,1.257603868842125
168,109,1.2074526250362396
303,109,1.184835965612105
303,46,1.1750119541372572
329,46,1.2064216722335135
112,49,1.2058080030339104
282,22,1.217344171966293
456,43,1.2477475213153022
359,14,1.1762428837163108
112,69,1.2664487617356437
334,78,1.2632462967719351
82,81,1.194543182849884
373,46,1.2000908005450452
473,53,1.1817093228123017
334,58,1.256968084190573
241,109,1.219789014330932
431,20,1.2108594551682472
334,80,1.2707575133868627
34,81,1.207126175718648
100,46,1.206816693501813
329,14,1.1955312373382705
373,48,1.2092947736382484
456,45,1.2578611767717771
230,99,1.2253147970352853
240,109,1.2035063281655312
334,20,1.2209813222289085
580,18,1.2779731654695101
396,106,1.1701299295361554
334,38,1.2281471916607447
590,21,1.1837552594287055
241,81,1.2339951662080628
117,109,1.231310638998236
303,94,1.255212358066014
329,49,1.2112855591944285
329,60,1.2687980117542403
241,14,1.1893263741263322
31,14,1.1858906266944749
240,62,1.2070060691663198
168,49,1.2028604873589106
241,106,1.217817631150995
303,57,1.2405106010181564
103,46,1.1866672145468848
230,46,1.200413425053869
112,106,1.2127526945301466
34,109,1.189694578094142
329,62,1.2176448607019015
240,106,1.2136453986167908
334,99,1.2335533984005451
518,53,1.240817563874381
116,62,1.2451714873313904
457,109,1.2155460779156004
28,21,1.233592982403934
85,53,1.213427568120616
137,27,1.2141594056572234
23,109,1.2071122143949782
4,53,1.1785217124436582
582,21,1.1901271407093321
368,62,1.2005612115774835
182,98,1.2137983526502336
483,35,1.1865447887352534
202,14,1.1762633577787451
299,72,1.1853492808129107
369,14,1.220088800681489
395,20,1.18607347458601
62,21,1.2125604365553175
257,109,1.2051500050084931
249,109,1.2106360548308917
476,98,1.2382310863052095
398,99,1.2334649139749152
395,21,1.158779004322631
132,89,1.273907727694937
23,62,1.2085482254624367
395,62,1.1816860660910606
61,48,1.213683629674571
539,109,1.2093054269041335
298,14,1.1756078941481454
465,21,1.1952315781797682
243,46,1.1973847156124455
182,62,1.2215888117040907
58,35,1.2118926724152905
574,35,1.2078593245574407
61,109,1.2207776606082916
306,49,1.184860184788704
182,53,1.2024907911462444
105,98,1.2095626156244959
23,49,1.1995420711381095
59,48,1.2018407713621855
73,53,1.2044453455933504
130,43,1.2040589208315526
294,96,1.2066926370773996
446,109,1.2198031970432825
359,38,1.2187754384108953
175,53,1.1943318833197867
254,21,1.1530280451157264
582,29,1.2497562489339284
182,55,1.241548644112689
508,49,1.1811339833906718
477,53,1.2096015651311194
428,46,1.2531798694814955
341,98,1.2182988609586443
384,46,1.2343422762517418
20,48,1.2003214171688472
478,14,1.1790516110403197
116,98,1.2420697680541448
404,14,1.149613685506795
495,109,1.177601351269654
59,98,1.2118230217269488
368,98,1.204588302544185
508,109,1.194157553570611
243,92,1.2428252292530877
23,98,1.2144193883453096
444,48,1.1837031559220381
59,109,1.2095320927245277
40,60,1.2551950136465686
320,109,1.1955345986144883
59,14,1.1854125458214964
406,109,1.2206528314522334
105,48,1.2036101732935225
457,46,1.2076339476874896
373,27,1.2656891580138887
105,38,1.2304418746914183
137,99,1.1814290631030286
112,48,1.2087936757930688
514,48,1.2168555363480533
38,53,1.2392165421375207
211,14,1.2099265474826097
243,62,1.2112699385200227
446,46,1.2104388177394867
61,62,1.224200818155493
134,106,1.178024278155395
208,14,1.1864734584731715
277,109,1.206974871456623
112,98,1.2216057543243681
277,46,1.1971787714532443
182,49,1.2092487577881132
590,109,1.211873084306717
303,53,1.1693701358245951
406,46,1.2216506898403168
59,105,1.2394552151007312
40,109,1.2159167038542884
182,109,1.2168728453772408
550,109,1.191622945879187
368,49,1.1912682013852256
334,81,1.2305694020220213
334,43,1.2549316616994994
287,109,1.2321735790797643
457,48,1.2190311274358205
249,49,1.204021010015692
375,109,1.2203678116202354
166,48,1.1983166730829649
240,46,1.1951127552560397
257,53,1.1953650287219457
117,18,1.2675125588263785
590,106,1.2158601880073547
112,53,1.1973223334976606
485,109,1.1913548085306371
457,62,1.218346385019166
398,92,1.244879397031452
334,57,1.2719664115990912
334,35,1.2303456802453314
395,109,1.182663337194494
303,18,1.223742697920118
112,46,1.2011907451919146
306,46,1.1814444246036666
480,109,1.23957801929542
530,14,1.2034806422889233
334,89,1.2863029422504562
59,49,1.2032400837966375
508,98,1.1984212632690157
470,53,1.1970184402806419
320,110,1.252770000802619
112,14,1.1863801309040614
100,109,1.2203504294157028
413,49,1.1948082191603524
82,29,1.2196475980537278
51,109,1.2626273951360159
512,46,1.233152703781213
236,14,1.214274094573089
528,98,1.2197094187140465
182,46,1.1992723590561323
547,109,1.2113296964338847
241,27,1.267489684479577
241,48,1.2154991727854525
295,53,1.2157958781878864
375,46,1.2105932735971041
103,109,1.1952245086431503
182,99,1.2303610028965133
473,20,1.2065373403685433
334,74,1.2902944290212222
303,106,1.1877218410372734
470,4,1.2645655189241682
512,109,1.2323379921061652
473,18,1.237631054861205
558,64,1.1952157661850964
249,98,1.2167463174888067
240,18,1.2458121318902289
446,62,1.2195903382131033
241,37,1.3085981884172984
254,14,1.153863244823047
562,109,1.2150970405533112
539,21,1.1877133856926645
579,21,1.19291396013328
495,21,1.1566009537449904
546,21,1.2011677755508572
393,21,1.2218615912965365
173,21,1.2513393935348307
526,21,1.233195596108479
497,21,1.1809022027466978
374,21,1.1967294535466604
281,21,1.2476923211610742
439,21,1.2589399346283503
469,21,1.2375523165932723
547,21,1.1888818432177817
49,21,1.2469296434095927
218,21,1.202867619161095
221,21,1.1768171962882792
422,21,1.1652575411966868
524,21,1.2183027576122964
96,21,1.1588932376887118
560,21,1.2175902075001173
584,21,1.224820860262428
286,21,1.2311978377401829
109,21,1.1904586082590478
132,53,1.2061393186450005
280,21,1.23396305420569
145,21,1.1986981587750571
107,21,1.1741014085710049
501,21,1.208243495651654
441,21,1.2013916948011942
371,21,1.197722617004599
46,21,1.2206445400203978
174,21,1.187126134123121
406,21,1.2073895909956522
80,21,1.2135235667228699
411,21,1.2040265378143107
334,48,1.2153942896319287
329,100,1.3126108437510473
112,93,1.241306334733963
586,14,1.197931793751195
112,62,1.214372647660119
240,49,1.2006814032793045
168,18,1.2499367626649993
29,69,1.2700635381042957
334,46,1.2045181787439756
373,60,1.2622665730970246
168,53,1.1948695816099644
63,111,1.2253855573279517
103,53,1.1872905120253563
473,69,1.2549121103116445
112,64,1.254766536610467
103,49,1.1913174124700683
241,58,1.2687434617962157
31,1,1.2614719229085105
305,42,1.291754970593112
586,49,1.214653628213065
168,55,1.2404246649571828
34,18,1.2297087939722198
373,62,1.21559247055224
334,107,1.285241539989199
112,60,1.261511888887201
359,29,1.2487666457891464
34,62,1.1903940801109587
240,99,1.2192993110844068
303,23,1.256135062447616
303,81,1.1993580338146006
168,98,1.2139356923954827
117,46,1.2198100563670908
303,80,1.2401088422962598
457,49,1.2133912912436895
308,53,1.2460117217685496
462,98,1.22471798317773
28,46,1.2476835141756706
502,62,1.1881372792912381
257,14,1.1905734624181474
497,109,1.2045318463018961
582,98,1.2232225042368685
105,49,1.2054378624473299
404,27,1.2282615351889814
368,109,1.19870668223926
137,98,1.1705870309046336
102,98,1.2049135183250266
59,53,1.192388782011611
243,109,1.211052386888436
521,92,1.2429221996239253
419,46,1.2800585481205158
287,38,1.2243559552090508
34,48,1.186715627621327
123,93,1.2506140132567711
328,98,1.1942553746380977
182,14,1.1986711349870478
249,46,1.1995134364281381
426,109,1.2401832065411977
262,49,1.1645671666732855
126,62,1.202883528811591
182,28,1.2928896429283279
59,77,1.2474952191114426
306,21,1.167684483741011
116,109,1.2413718397063869
373,38,1.2308528109320573
353,21,1.1867267340421677
590,98,1.2196669525333814
87,106,1.209404920211195
112,58,1.2556486598082952
174,46,1.2039343182529723
373,99,1.2237938118300267
34,43,1.2369806681360518
61,98,1.226100532071931
168,46,1.196831843682698
112,68,1.2380962584699904
537,14,1.200356197144304
100,18,1.2561568202716964
359,55,1.2290201777858394
334,18,1.251526384481362
219,53,1.2055607134742397
590,37,1.3008754285318511
202,98,1.204647303691932
193,53,1.2303973634594254
334,49,1.2085455836994308
145,4,1.2620679998238171
590,18,1.251359956605094
241,75,1.2715263909527235
257,106,1.2102633054767336
112,63,1.3007553887686558
373,106,1.2195858513670308
395,98,1.1922359088701862
373,58,1.2610156924596854
23,35,1.233341987643923
359,49,1.1900249432240213
227,109,1.2135453362550055
91,27,1.2132581669305051
590,53,1.1972665786743164
331,21,1.1556469734225954
203,21,1.1843378676899843
25,21,1.2580943767513548
507,21,1.2625895076697427
410,21,1.2055503694074494
447,21,1.155882320765938
375,98,1.2285684847405978
161,55,1.2192378445927585
562,21,1.191644113510847
40,21,1.1972811722329684
577,21,1.2218033831034387
111,21,1.238959899438279
29,18,1.2686972176390034
112,99,1.2279340337429727
431,12,1.2469254838568824
334,47,1.2935234872358186
241,26,1.3027185393231255
277,49,1.205255854342665
334,1,1.2820165465985025
329,97,1.2808942225362574
473,33,1.3042929654807918
334,27,1.2638425816382681
334,105,1.2422053824578012
241,69,1.2782773726752825
241,93,1.2489290993128503
373,98,1.2181402519345284
359,109,1.1994055435061455
334,39,1.2994035535625048
303,62,1.1863144763878413
137,47,1.2395884713956289
528,49,1.2154051970158304
255,105,1.2050275165321571
300,62,1.1764879349086965
483,53,1.1756600982376508
182,48,1.2144739071705513
312,21,1.2302291989326477
157,46,1.2406678134575486
254,48,1.1673139365656036
62,109,1.234965784209115
137,93,1.1937157862952776
132,35,1.2326155975461006
259,46,1.2845844722219877
55,53,1.1829266484294618
140,98,1.221327692270279
359,68,1.2323665810482842
581,38,1.1935470126502747
105,93,1.2465829870530538
398,109,1.226901569536754
457,98,1.225522062608174
406,98,1.2356935324413436
540,109,1.1893720568290778
23,46,1.1966122665575571
264,21,1.2017406395503454
457,60,1.2649083637765475
372,98,1.227962874907202
195,38,1.1976709472281593
80,96,1.2455887624195643
312,69,1.2593740810241019
470,38,1.233207215155874
147,62,1.238005064893514
330,53,1.1815374198028752
306,99,1.2012908224548613
80,109,1.230301742042814
61,60,1.2685380524822645
441,98,1.2248673822198595
68,48,1.2363707508359636
129,98,1.262643211055547
165,109,1.1731228583625384
365,105,1.1745843897972787
405,106,1.18529604694673
222,96,1.256912522284048
168,48,1.210340406213488
495,76,1.1984862738421984
502,49,1.1801734550723009
575,46,1.2318818787378925
574,27,1.2547133171132632
137,78,1.2156828801546777
225,43,1.1780262267483133
377,98,1.200180793447154
334,97,1.2678220186914717
586,109,1.2229142955371313
415,48,1.1829529383352824
303,10,1.2383945914251464
334,50,1.2971710413694382
334,64,1.2610713679875647
367,14,1.1959319025544184
23,99,1.2229028035487448
473,14,1.1734493279031344
446,110,1.278547190129757
112,35,1.2312859552247184
103,106,1.201057385121073
373,49,1.2074803805777006
322,98,1.266441425042493
146,109,1.2270641231111117
253,10,1.1638391794902938
508,46,1.1824318521789141
325,21,1.2137374025769532
566,21,1.2341419085860252
341,21,1.1933263380612646
190,21,1.2329944553119796
99,21,1.2080786491611175
428,21,1.2439082371337074
300,21,1.148988125712744
34,46,1.1778984825525964
253,68,1.1599535824997085
117,98,1.2382135689258575
241,90,1.329940531003688
112,81,1.2244803713900703
373,76,1.2451627499290876
117,60,1.2787740752100945
168,99,1.2242793004427637
29,68,1.2565686394061362
112,38,1.2277495712041855
303,98,1.1898772971970695
329,61,1.3167139207944274
303,100,1.2809687602732862
29,46,1.2210739819066865
334,96,1.2571428811975889
240,98,1.2116420226437705
562,71,1.2717805664454187
406,49,1.22263469014849
546,46,1.213908292087061
590,92,1.242204403238637
555,27,1.2194604075380735
473,38,1.2161739931574889
249,62,1.2139915483338493
303,58,1.226850440459592
105,46,1.1933507046529226
398,77,1.2598909786237138
59,38,1.2204548948045288
105,1,1.2800944314471312
23,61,1.3044953324965067
23,82,1.29124830024583
51,98,1.281286575964519
116,49,1.2402825845139367
241,38,1.2315362000039645
547,81,1.225285176719938
249,110,1.2744882352251028
446,60,1.2705338852746146
137,46,1.1556587905756064
381,38,1.1890262288174458
154,62,1.2269038930535316
146,48,1.2125269791909628
534,49,1.196835644543171
73,55,1.243552612406867
137,34,1.2426525875926018
88,98,1.2087431507451194
413,101,1.2749704931463515
528,109,1.2168138697743416
400,3,1.2290300045694624
34,79,1.27468849878226
168,60,1.2581337062375886
168,92,1.240624496979373
112,4,1.2667379177042417
303,48,1.1758040322789125
59,46,1.1948730825845684
209,92,1.2159178598418035
334,26,1.2938058844634466
303,11,1.2714184990950994
334,98,1.2232990499053682
241,65,1.3325209729373455
303,60,1.2382939926215581
227,46,1.2115164356572288
530,28,1.2645350225003702
103,98,1.201903530529567
334,17,1.2932710168617112
404,21,1.1543078615463205
44,21,1.1830145070063216
568,21,1.249052985970463
194,21,1.1632928486381258
377,21,1.1819335190313203
128,111,1.1727960985153913
303,97,1.2414112272007125
253,38,1.1588661138500487
329,99,1.233482580099787
63,110,1.2304507158696651
34,75,1.2425163994942392
334,32,1.3013913705945015
230,98,1.2199932602899415
590,14,1.1872436351009779
112,97,1.2647315455334527
582,49,1.2133369674640042
104,49,1.217770476426397
101,46,1.2160943714635712
73,46,1.209604621465717
104,98,1.2271322927304678
579,109,1.2117129542997904
508,62,1.1957984885999136
537,46,1.2085359756435667
391,48,1.2040963603316672
373,68,1.2439423884664262
104,99,1.2372371490512575
563,46,1.2690689845808916
398,46,1.2158576364495925
304,22,1.2150730726176076
525,109,1.2152376656553574
439,46,1.2593642872359072
480,21,1.2173938868301255
303,14,1.1585427589182342
409,14,1.191314929297992
257,46,1.2020329130547387
303,96,1.227030633283513
329,98,1.2250627630523272
154,46,1.2163338107722146
586,62,1.2232704598988806
466,48,1.184771207759955
224,53,1.2061350271105766
300,98,1.1784614244742053
22,48,1.1772483323833771
254,43,1.2150084993668966
241,53,1.199872512370348
204,53,1.233876303902694
426,21,1.2276660672255926
71,21,1.174611637102706
316,21,1.2293285569176078
74,21,1.204288037493825
314,21,1.2291676199861936
451,21,1.192053459584713
73,21,1.1962634261165346
520,21,1.2565085318471705
341,52,1.2926846609583922
465,53,1.2147938523973738
118,21,1.1982914869274413
241,46,1.2052443059427398
240,63,1.290490408028875
590,20,1.2254406022174018
241,62,1.22002440903868
241,103,1.3012910852474826
277,55,1.2315359626497542
473,97,1.253507905772754
240,93,1.2458722037928445
34,98,1.1952695835913931
373,18,1.25099628418684
112,80,1.266614252967494
473,106,1.200686582497188
8,99,1.2408395143491882
359,46,1.184747198862689
334,15,1.306457407772541
413,109,1.2005414505090033
252,93,1.1731596386858396
328,109,1.1667411814310722
238,98,1.2043189358830984
40,98,1.22964112673487
40,49,1.2152415162750654
465,48,1.2162373869546823
137,105,1.1913290587919099
508,99,1.20771986246109
23,92,1.2378703813467706
509,102,1.173435213310378
538,98,1.2241443682994162
105,109,1.2068170245204652
303,93,1.2173155413142271
49,109,1.265178429228919
590,49,1.2031737651143755
368,46,1.1878724236573492
59,35,1.227953984269074
232,46,1.189325608845268
145,53,1.2079361730388232
273,109,1.256902168904032
300,48,1.172675149249179
411,109,1.2195417402046067
