HSCode,PortOfUnlading,dist
92,62,1.3231694578592266
32,50,1.3159580973110028
95,62,1.3146030136517115
64,49,1.319961093366146
87,43,1.3205267036599773
92,49,1.3199199784680136
87,49,1.318991887383163
93,43,1.3169348932070923
87,15,1.3196517902293377
39,8,1.3228147657854217
87,45,1.3292538491742951
42,62,1.3196289906544345
95,15,1.3119964743299144
92,30,1.3224730473469077
32,49,1.316438861723457
87,30,1.3212768244266044
92,61,1.3214677409934146
78,50,1.3092768373233932
78,62,1.315392799941557
92,10,1.3216858503541775
42,50,1.3143093676439352
60,62,1.2977009650120246
87,62,1.3234948611685209
87,52,1.3216751201876573
90,45,1.3291848764887877
92,27,1.3190113613381982
92,43,1.3207700990938716
92,50,1.3191024046391249
32,62,1.3215791562439076
87,50,1.3179280491811889
54,50,1.3158177749386855
54,6,1.3125185172206588
44,43,1.3173432409031582
32,6,1.3132773939120983
75,43,1.320922794618777
92,45,1.3298009228227394
90,27,1.3144844118505716
90,15,1.3184578229806252
87,6,1.3165276949959142
93,62,1.3194618363465582
92,6,1.3166274085108722
15,62,1.3156203153942312
90,62,1.3229899337249142
64,10,1.3222742612872804
57,43,1.3285472093682205
89,62,1.3232710883021355
50,43,1.3292444443463214
90,30,1.3212453119589813
60,50,1.2921850505684103
74,43,1.3226523357443511
95,43,1.3120419311204128
92,52,1.3218243664928846
90,64,1.3241327205406768
39,44,1.3180565961769648
92,18,1.3338332494188632
87,2,1.3204146901012532
60,43,1.2950930055230856
61,50,1.304241154875074
79,50,1.305235258702721
87,10,1.318732835685036
92,15,1.3192235832767827
39,62,1.3304662693824088
80,43,1.3037462340933936
92,8,1.3193326693560397
61,6,1.3006981749619757
32,45,1.3259356278660042
92,59,1.309420006748821
92,2,1.3218698135044957
33,8,1.327357859483787
91,15,1.321311607690794
28,50,1.3048554291682584
91,10,1.3204084884242289
91,43,1.3225849221593566
39,2,1.321520115248859
88,52,1.309558085298964
91,62,1.3254364944462265
45,39,1.2863558858100856
81,50,1.304594974964857
93,8,1.3158697097429208
93,2,1.3180448783095926
57,8,1.324114273169211
26,2,1.312921080738306
42,49,1.314785641751119
10,50,1.311298691268478
4,14,1.314079555549792
40,2,1.3166622346533197
