ConsigneePanjivaID,ShipperPanjivaID,weight
ConsigneePanjivaID-0,ShipperPanjivaID-852,1
ConsigneePanjivaID-0,ShipperPanjivaID-1679,2
ConsigneePanjivaID-1,ShipperPanjivaID-702,1
ConsigneePanjivaID-1,ShipperPanjivaID-1149,22
ConsigneePanjivaID-1,ShipperPanjivaID-1156,7
ConsigneePanjivaID-1,ShipperPanjivaID-1820,2
ConsigneePanjivaID-1,ShipperPanjivaID-3203,2
ConsigneePanjivaID-1,ShipperPanjivaID-3598,5
ConsigneePanjivaID-1,ShipperPanjivaID-3672,5
ConsigneePanjivaID-1,ShipperPanjivaID-4428,2
ConsigneePanjivaID-1,ShipperPanjivaID-5332,4
ConsigneePanjivaID-1,ShipperPanjivaID-5371,3
ConsigneePanjivaID-1,ShipperPanjivaID-6286,2
ConsigneePanjivaID-1,ShipperPanjivaID-6489,2
ConsigneePanjivaID-1,ShipperPanjivaID-6589,26
ConsigneePanjivaID-1,ShipperPanjivaID-6596,2
ConsigneePanjivaID-2,ShipperPanjivaID-374,1
ConsigneePanjivaID-3,ShipperPanjivaID-1372,1
ConsigneePanjivaID-3,ShipperPanjivaID-2718,5
ConsigneePanjivaID-4,ShipperPanjivaID-140,1
ConsigneePanjivaID-4,ShipperPanjivaID-231,1
ConsigneePanjivaID-4,ShipperPanjivaID-357,1
ConsigneePanjivaID-4,ShipperPanjivaID-360,2
ConsigneePanjivaID-4,ShipperPanjivaID-435,1
ConsigneePanjivaID-4,ShipperPanjivaID-482,2
ConsigneePanjivaID-4,ShipperPanjivaID-483,2
ConsigneePanjivaID-4,ShipperPanjivaID-505,1
ConsigneePanjivaID-4,ShipperPanjivaID-607,3
ConsigneePanjivaID-4,ShipperPanjivaID-757,2
ConsigneePanjivaID-4,ShipperPanjivaID-786,1
ConsigneePanjivaID-4,ShipperPanjivaID-822,1
ConsigneePanjivaID-4,ShipperPanjivaID-836,2
ConsigneePanjivaID-4,ShipperPanjivaID-840,1
ConsigneePanjivaID-4,ShipperPanjivaID-863,1
ConsigneePanjivaID-4,ShipperPanjivaID-896,1
ConsigneePanjivaID-4,ShipperPanjivaID-1001,1
ConsigneePanjivaID-4,ShipperPanjivaID-1019,3
ConsigneePanjivaID-4,ShipperPanjivaID-1107,3
ConsigneePanjivaID-4,ShipperPanjivaID-1136,1
ConsigneePanjivaID-4,ShipperPanjivaID-1137,2
ConsigneePanjivaID-4,ShipperPanjivaID-1156,2
ConsigneePanjivaID-4,ShipperPanjivaID-1223,1
ConsigneePanjivaID-4,ShipperPanjivaID-1225,2
ConsigneePanjivaID-4,ShipperPanjivaID-1230,2
ConsigneePanjivaID-4,ShipperPanjivaID-1253,2
ConsigneePanjivaID-4,ShipperPanjivaID-1259,1
ConsigneePanjivaID-4,ShipperPanjivaID-1319,1
ConsigneePanjivaID-4,ShipperPanjivaID-1321,1
ConsigneePanjivaID-4,ShipperPanjivaID-1432,2
ConsigneePanjivaID-4,ShipperPanjivaID-1491,1
ConsigneePanjivaID-4,ShipperPanjivaID-1555,2
ConsigneePanjivaID-4,ShipperPanjivaID-1622,1
ConsigneePanjivaID-4,ShipperPanjivaID-1832,1
ConsigneePanjivaID-4,ShipperPanjivaID-1885,1
ConsigneePanjivaID-4,ShipperPanjivaID-1886,2
ConsigneePanjivaID-4,ShipperPanjivaID-2132,2
ConsigneePanjivaID-4,ShipperPanjivaID-2153,2
ConsigneePanjivaID-4,ShipperPanjivaID-2218,3
ConsigneePanjivaID-4,ShipperPanjivaID-2237,1
ConsigneePanjivaID-4,ShipperPanjivaID-2246,2
ConsigneePanjivaID-4,ShipperPanjivaID-2271,1
ConsigneePanjivaID-4,ShipperPanjivaID-2330,3
ConsigneePanjivaID-4,ShipperPanjivaID-2350,1
ConsigneePanjivaID-4,ShipperPanjivaID-2420,4
ConsigneePanjivaID-4,ShipperPanjivaID-2421,1
ConsigneePanjivaID-4,ShipperPanjivaID-2453,4
ConsigneePanjivaID-4,ShipperPanjivaID-2535,1
ConsigneePanjivaID-4,ShipperPanjivaID-2661,1
ConsigneePanjivaID-4,ShipperPanjivaID-2767,2
ConsigneePanjivaID-4,ShipperPanjivaID-2857,3
ConsigneePanjivaID-4,ShipperPanjivaID-3095,1
ConsigneePanjivaID-4,ShipperPanjivaID-3235,2
ConsigneePanjivaID-4,ShipperPanjivaID-3251,1
ConsigneePanjivaID-4,ShipperPanjivaID-3328,1
ConsigneePanjivaID-4,ShipperPanjivaID-3334,1
ConsigneePanjivaID-4,ShipperPanjivaID-3336,1
ConsigneePanjivaID-4,ShipperPanjivaID-3355,1
ConsigneePanjivaID-4,ShipperPanjivaID-3411,1
ConsigneePanjivaID-4,ShipperPanjivaID-3414,4
ConsigneePanjivaID-4,ShipperPanjivaID-3465,1
ConsigneePanjivaID-4,ShipperPanjivaID-3476,3
ConsigneePanjivaID-4,ShipperPanjivaID-3511,1
ConsigneePanjivaID-4,ShipperPanjivaID-3540,1
ConsigneePanjivaID-4,ShipperPanjivaID-3604,2
ConsigneePanjivaID-4,ShipperPanjivaID-3639,1
ConsigneePanjivaID-4,ShipperPanjivaID-3644,2
ConsigneePanjivaID-4,ShipperPanjivaID-3666,1
ConsigneePanjivaID-4,ShipperPanjivaID-3886,1
ConsigneePanjivaID-4,ShipperPanjivaID-4000,3
ConsigneePanjivaID-4,ShipperPanjivaID-4177,1
ConsigneePanjivaID-4,ShipperPanjivaID-4183,1
ConsigneePanjivaID-4,ShipperPanjivaID-4342,3
ConsigneePanjivaID-4,ShipperPanjivaID-4356,1
ConsigneePanjivaID-4,ShipperPanjivaID-4551,1
ConsigneePanjivaID-4,ShipperPanjivaID-4675,1
ConsigneePanjivaID-4,ShipperPanjivaID-4696,1
ConsigneePanjivaID-4,ShipperPanjivaID-4910,1
ConsigneePanjivaID-4,ShipperPanjivaID-5157,1
ConsigneePanjivaID-4,ShipperPanjivaID-5354,1
ConsigneePanjivaID-4,ShipperPanjivaID-5371,2
ConsigneePanjivaID-4,ShipperPanjivaID-5492,2
ConsigneePanjivaID-4,ShipperPanjivaID-5608,1
ConsigneePanjivaID-4,ShipperPanjivaID-5766,2
ConsigneePanjivaID-4,ShipperPanjivaID-5772,1
ConsigneePanjivaID-4,ShipperPanjivaID-5810,2
ConsigneePanjivaID-4,ShipperPanjivaID-5826,1
ConsigneePanjivaID-4,ShipperPanjivaID-5941,1
ConsigneePanjivaID-4,ShipperPanjivaID-6014,1
ConsigneePanjivaID-4,ShipperPanjivaID-6099,2
ConsigneePanjivaID-4,ShipperPanjivaID-6143,1
ConsigneePanjivaID-4,ShipperPanjivaID-6193,2
ConsigneePanjivaID-4,ShipperPanjivaID-6203,2
ConsigneePanjivaID-4,ShipperPanjivaID-6233,1
ConsigneePanjivaID-4,ShipperPanjivaID-6346,1
ConsigneePanjivaID-4,ShipperPanjivaID-6438,1
ConsigneePanjivaID-4,ShipperPanjivaID-6458,1
ConsigneePanjivaID-4,ShipperPanjivaID-6532,1
ConsigneePanjivaID-4,ShipperPanjivaID-6607,1
ConsigneePanjivaID-4,ShipperPanjivaID-6630,1
ConsigneePanjivaID-4,ShipperPanjivaID-6808,2
ConsigneePanjivaID-4,ShipperPanjivaID-6817,2
ConsigneePanjivaID-4,ShipperPanjivaID-6844,1
ConsigneePanjivaID-4,ShipperPanjivaID-6847,1
ConsigneePanjivaID-4,ShipperPanjivaID-6891,4
ConsigneePanjivaID-5,ShipperPanjivaID-503,1
ConsigneePanjivaID-5,ShipperPanjivaID-5906,12
ConsigneePanjivaID-6,ShipperPanjivaID-1689,4
ConsigneePanjivaID-6,ShipperPanjivaID-5906,4
ConsigneePanjivaID-7,ShipperPanjivaID-4775,2
ConsigneePanjivaID-8,ShipperPanjivaID-5906,7
ConsigneePanjivaID-9,ShipperPanjivaID-2410,3
ConsigneePanjivaID-9,ShipperPanjivaID-6101,2
ConsigneePanjivaID-10,ShipperPanjivaID-740,1
ConsigneePanjivaID-10,ShipperPanjivaID-2491,2
ConsigneePanjivaID-10,ShipperPanjivaID-2626,3
ConsigneePanjivaID-10,ShipperPanjivaID-2944,1
ConsigneePanjivaID-10,ShipperPanjivaID-3281,1
ConsigneePanjivaID-10,ShipperPanjivaID-4234,1
ConsigneePanjivaID-10,ShipperPanjivaID-6483,5
ConsigneePanjivaID-10,ShipperPanjivaID-6727,3
ConsigneePanjivaID-11,ShipperPanjivaID-5906,2
ConsigneePanjivaID-12,ShipperPanjivaID-273,1
ConsigneePanjivaID-13,ShipperPanjivaID-1024,2
ConsigneePanjivaID-13,ShipperPanjivaID-3714,1
ConsigneePanjivaID-13,ShipperPanjivaID-4501,2
ConsigneePanjivaID-13,ShipperPanjivaID-5651,1
ConsigneePanjivaID-14,ShipperPanjivaID-6436,4
ConsigneePanjivaID-15,ShipperPanjivaID-1023,4
ConsigneePanjivaID-15,ShipperPanjivaID-1706,5
ConsigneePanjivaID-16,ShipperPanjivaID-205,2
ConsigneePanjivaID-17,ShipperPanjivaID-2241,1
ConsigneePanjivaID-17,ShipperPanjivaID-3962,5
ConsigneePanjivaID-18,ShipperPanjivaID-2577,1
ConsigneePanjivaID-18,ShipperPanjivaID-5685,1
ConsigneePanjivaID-19,ShipperPanjivaID-3021,2
ConsigneePanjivaID-19,ShipperPanjivaID-4483,3
ConsigneePanjivaID-20,ShipperPanjivaID-6914,5
ConsigneePanjivaID-21,ShipperPanjivaID-188,1
ConsigneePanjivaID-22,ShipperPanjivaID-3441,2
ConsigneePanjivaID-23,ShipperPanjivaID-5779,2
ConsigneePanjivaID-24,ShipperPanjivaID-790,1
ConsigneePanjivaID-24,ShipperPanjivaID-882,1
ConsigneePanjivaID-24,ShipperPanjivaID-1890,1
ConsigneePanjivaID-24,ShipperPanjivaID-3545,1
ConsigneePanjivaID-25,ShipperPanjivaID-2413,6
ConsigneePanjivaID-26,ShipperPanjivaID-1320,3
ConsigneePanjivaID-26,ShipperPanjivaID-1621,3
ConsigneePanjivaID-26,ShipperPanjivaID-6265,1
ConsigneePanjivaID-27,ShipperPanjivaID-8,1
ConsigneePanjivaID-27,ShipperPanjivaID-111,1
ConsigneePanjivaID-27,ShipperPanjivaID-133,1
ConsigneePanjivaID-27,ShipperPanjivaID-305,3
ConsigneePanjivaID-27,ShipperPanjivaID-312,1
ConsigneePanjivaID-27,ShipperPanjivaID-557,1
ConsigneePanjivaID-27,ShipperPanjivaID-1037,1
ConsigneePanjivaID-27,ShipperPanjivaID-1878,1
ConsigneePanjivaID-27,ShipperPanjivaID-1935,1
ConsigneePanjivaID-27,ShipperPanjivaID-1970,1
ConsigneePanjivaID-27,ShipperPanjivaID-1982,1
ConsigneePanjivaID-27,ShipperPanjivaID-2063,1
ConsigneePanjivaID-27,ShipperPanjivaID-2720,1
ConsigneePanjivaID-27,ShipperPanjivaID-3802,1
ConsigneePanjivaID-27,ShipperPanjivaID-4109,1
ConsigneePanjivaID-27,ShipperPanjivaID-5118,1
ConsigneePanjivaID-27,ShipperPanjivaID-5698,2
ConsigneePanjivaID-27,ShipperPanjivaID-5711,1
ConsigneePanjivaID-28,ShipperPanjivaID-2414,3
ConsigneePanjivaID-29,ShipperPanjivaID-144,5
ConsigneePanjivaID-29,ShipperPanjivaID-328,3
ConsigneePanjivaID-29,ShipperPanjivaID-427,2
ConsigneePanjivaID-29,ShipperPanjivaID-952,1
ConsigneePanjivaID-29,ShipperPanjivaID-1394,9
ConsigneePanjivaID-29,ShipperPanjivaID-1624,8
ConsigneePanjivaID-29,ShipperPanjivaID-1650,19
ConsigneePanjivaID-29,ShipperPanjivaID-1779,9
ConsigneePanjivaID-29,ShipperPanjivaID-1815,1
ConsigneePanjivaID-29,ShipperPanjivaID-2491,4
ConsigneePanjivaID-29,ShipperPanjivaID-2661,3
ConsigneePanjivaID-29,ShipperPanjivaID-2681,10
ConsigneePanjivaID-29,ShipperPanjivaID-3467,17
ConsigneePanjivaID-29,ShipperPanjivaID-3633,9
ConsigneePanjivaID-29,ShipperPanjivaID-3667,1
ConsigneePanjivaID-29,ShipperPanjivaID-3845,22
ConsigneePanjivaID-29,ShipperPanjivaID-3945,15
ConsigneePanjivaID-29,ShipperPanjivaID-4511,4
ConsigneePanjivaID-29,ShipperPanjivaID-4940,4
ConsigneePanjivaID-29,ShipperPanjivaID-5116,1
ConsigneePanjivaID-29,ShipperPanjivaID-5628,5
ConsigneePanjivaID-29,ShipperPanjivaID-6183,6
ConsigneePanjivaID-29,ShipperPanjivaID-6891,6
ConsigneePanjivaID-30,ShipperPanjivaID-807,1
ConsigneePanjivaID-31,ShipperPanjivaID-1057,2
ConsigneePanjivaID-31,ShipperPanjivaID-5312,1
ConsigneePanjivaID-32,ShipperPanjivaID-213,1
ConsigneePanjivaID-32,ShipperPanjivaID-770,1
ConsigneePanjivaID-32,ShipperPanjivaID-1358,1
ConsigneePanjivaID-32,ShipperPanjivaID-2442,2
ConsigneePanjivaID-32,ShipperPanjivaID-2666,2
ConsigneePanjivaID-32,ShipperPanjivaID-2987,4
